Period,Scenario,LoadLevel,P_Coal_Hardcoal,P_Oil,RES_Hydro_Large
2022,sc01,01-10 13:00:00+01:00,3.06327007710408e-05,0.00024736985590317374,0.0
2022,sc01,01-10 14:00:00+01:00,3.06327007710408e-05,0.0002387457112620551,0.0
2022,sc01,01-10 15:00:00+01:00,3.06327007710408e-05,0.00023919588374527218,0.0
2022,sc01,01-10 16:00:00+01:00,3.06327007710408e-05,0.00027091616981407383,0.0
2022,sc01,01-10 17:00:00+01:00,3.06327007710408e-05,0.0003256643586294693,0.0
2022,sc01,01-10 18:00:00+01:00,3.06327007710408e-05,0.00038068975821037456,0.0
2022,sc01,01-10 19:00:00+01:00,3.06327007710408e-05,0.0003981944307025565,0.0
2022,sc01,01-10 20:00:00+01:00,3.06327007710408e-05,0.0003704919847873014,0.0
2022,sc01,01-10 21:00:00+01:00,3.06327007710408e-05,0.00032776351760713707,0.0
2022,sc01,01-10 22:00:00+01:00,3.06327007710408e-05,0.00026931353100862425,0.0
2022,sc01,01-10 23:00:00+01:00,3.06327007710408e-05,0.00023146479668723706,0.0
2022,sc01,01-11 00:00:00+01:00,3.06327007710408e-05,0.00020534142495840765,0.0
2022,sc01,01-11 01:00:00+01:00,3.06327007710408e-05,0.00019274009463033913,0.0
2022,sc01,01-11 02:00:00+01:00,3.06327007710408e-05,0.00018735652392944024,0.0
2022,sc01,01-11 03:00:00+01:00,3.06327007710408e-05,0.0001820917719200724,0.0
2022,sc01,01-11 04:00:00+01:00,3.06327007710408e-05,0.00020227727367191326,0.0
2022,sc01,01-11 05:00:00+01:00,3.06327007710408e-05,0.0002530170691262631,0.0
2022,sc01,01-11 06:00:00+01:00,3.06327007710408e-05,0.00031395448506490396,0.0
2022,sc01,01-11 07:00:00+01:00,3.06327007710408e-05,0.00035806755214156234,0.0
2022,sc01,01-11 08:00:00+01:00,3.06327007710408e-05,0.0003753622669414244,0.0
2022,sc01,01-11 09:00:00+01:00,3.06327007710408e-05,0.0003334935984419578,0.0
2022,sc01,01-11 10:00:00+01:00,3.06327007710408e-05,0.0002928141029832021,0.0
2022,sc01,01-11 11:00:00+01:00,3.06327007710408e-05,0.00028383271136001395,0.0
2022,sc01,01-11 12:00:00+01:00,3.06327007710408e-05,0.0002900591995027426,0.0
2022,sc01,01-11 13:00:00+01:00,3.06327007710408e-05,0.00027299810483767336,0.0
2022,sc01,01-11 14:00:00+01:00,3.06327007710408e-05,0.00025886468238214133,0.0
2022,sc01,01-11 15:00:00+01:00,3.06327007710408e-05,0.00025450500613587233,0.0
2022,sc01,01-11 16:00:00+01:00,3.06327007710408e-05,0.0002823971729934823,0.0
2022,sc01,01-11 17:00:00+01:00,3.06327007710408e-05,0.00033140924482225547,0.0
2022,sc01,01-11 18:00:00+01:00,3.06327007710408e-05,0.0003805552104505619,0.0
2022,sc01,01-11 19:00:00+01:00,3.06327007710408e-05,0.000392970784816203,0.0
2022,sc01,01-11 20:00:00+01:00,3.06327007710408e-05,0.00036766563431329187,0.0
2022,sc01,01-11 21:00:00+01:00,3.06327007710408e-05,0.00032968982707172863,0.0
2022,sc01,01-11 22:00:00+01:00,3.06327007710408e-05,0.0002780583724279214,0.0
2022,sc01,01-11 23:00:00+01:00,3.06327007710408e-05,0.00024021295373832433,0.0
2022,sc01,01-12 00:00:00+01:00,3.06327007710408e-05,0.00021468599502517168,0.0
2022,sc01,01-12 01:00:00+01:00,3.06327007710408e-05,0.00019910734245335226,0.0
2022,sc01,01-12 02:00:00+01:00,3.06327007710408e-05,0.00019340616024742224,0.0
2022,sc01,01-12 03:00:00+01:00,3.06327007710408e-05,0.00018927018582147933,0.0
2022,sc01,01-12 04:00:00+01:00,3.06327007710408e-05,0.00020927060460136963,0.0
2022,sc01,01-12 05:00:00+01:00,3.06327007710408e-05,0.0002574349170260932,0.0
2022,sc01,01-12 06:00:00+01:00,3.06327007710408e-05,0.00031390735207170755,0.0
2022,sc01,01-12 07:00:00+01:00,3.06327007710408e-05,0.0003627593836656251,0.0
2022,sc01,01-12 08:00:00+01:00,3.06327007710408e-05,0.00038574804944684597,0.0
2022,sc01,01-12 09:00:00+01:00,3.06327007710408e-05,0.0003433758946146617,0.0
2022,sc01,01-12 10:00:00+01:00,3.06327007710408e-05,0.0003025401836272236,0.0
2022,sc01,01-12 11:00:00+01:00,3.06327007710408e-05,0.0002948980924444675,0.0
2022,sc01,01-12 12:00:00+01:00,3.06327007710408e-05,0.0002975738898099417,0.0
2022,sc01,01-12 13:00:00+01:00,3.06327007710408e-05,0.0002783592089444322,0.0
2022,sc01,01-12 14:00:00+01:00,3.06327007710408e-05,0.0002633982984120483,0.0
2022,sc01,01-12 15:00:00+01:00,3.06327007710408e-05,0.00025644284101183717,0.0
2022,sc01,01-12 16:00:00+01:00,3.06327007710408e-05,0.0002815028171366634,0.0
2022,sc01,01-12 17:00:00+01:00,3.06327007710408e-05,0.0003287494585104078,0.0
2022,sc01,01-12 18:00:00+01:00,3.06327007710408e-05,0.00037448571497373454,0.0
2022,sc01,01-12 19:00:00+01:00,3.06327007710408e-05,0.0003826186367125947,0.0
2022,sc01,01-12 20:00:00+01:00,3.06327007710408e-05,0.00035558374317355804,0.0
2022,sc01,01-12 21:00:00+01:00,3.06327007710408e-05,0.00031645019125322953,0.0
2022,sc01,01-12 22:00:00+01:00,3.06327007710408e-05,0.00026001827295328475,0.0
2022,sc01,01-12 23:00:00+01:00,3.06327007710408e-05,0.00022407100727421365,0.0
2022,sc01,01-13 00:00:00+01:00,3.06327007710408e-05,0.00020431544706432008,0.0
2022,sc01,01-13 01:00:00+01:00,3.06327007710408e-05,0.00019675248630925688,0.0
2022,sc01,01-13 02:00:00+01:00,3.06327007710408e-05,0.00019456102548306303,0.0
2022,sc01,01-13 03:00:00+01:00,3.06327007710408e-05,0.00019403988128683793,0.0
2022,sc01,01-13 04:00:00+01:00,3.06327007710408e-05,0.00021670229578829223,0.0
2022,sc01,01-13 05:00:00+01:00,3.06327007710408e-05,0.00027005571982362855,0.0
2022,sc01,01-13 06:00:00+01:00,3.06327007710408e-05,0.00033315536418467815,0.0
2022,sc01,01-13 07:00:00+01:00,3.06327007710408e-05,0.00038067812263380986,0.0
2022,sc01,01-13 08:00:00+01:00,3.06327007710408e-05,0.000404122073812927,0.0
2022,sc01,01-13 09:00:00+01:00,3.06327007710408e-05,0.0003641095597982413,0.0
2022,sc01,01-13 10:00:00+01:00,3.06327007710408e-05,0.00031812200088627825,0.0
