Period,Scenario,LoadLevel,Centrale_C_Cap_CTag,Diesel_Bel_Air,Gas_Turbines,Boutoute,Secondary_Plants,Kounoune_Power,Tobene_Power,ICS,Contour_Global,KPS_KarPowerShip,Aggreko_Boutoute,CES_Sendou,Solar_CICAD,Solar_DIASS,Manantali,PETN_Taiba_Ndiaye_Wind,PV_Bokhol,PV_Malicounda,PV_Senergy_or_Santhiou_Mekhe,PV_Ten_Merina,PV_Kahone,PV_Sakal,Malicounda_Power,Centrale_Kahone_Solaire,Centrale_Kael_Solaire,Felou_Gouina
2022,sc01,01-03 00:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,59.21553007,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.800337189
2022,sc01,01-03 01:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,61.82662412,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.800337189
2022,sc01,01-03 02:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,59.78187077,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.800337189
2022,sc01,01-03 03:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,67.64149434,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.800337189
2022,sc01,01-03 04:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,74.66807025,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.800337189
2022,sc01,01-03 05:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,83.2356197,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.800337189
2022,sc01,01-03 06:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,89.88683026,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.800337189
2022,sc01,01-03 07:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,83.92049683,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.800337189
2022,sc01,01-03 08:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,80.89123261,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.800337189
2022,sc01,01-03 09:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.116179545,1.531913522,,99.11950076,2.376845468,7.992592302,1.998148081,1.964845607,2.412665413,1.332098717,,4.021109022,4.086581404,6.800337189
2022,sc01,01-03 10:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.318329564,3.03622751,,97.55877116,6.632361639,15.84118704,3.96029677,3.894291812,5.036806162,2.64019784,,8.394676936,7.664278403,6.800337189
2022,sc01,01-03 11:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.535046803,4.570371297,,87.59841871,10.68418464,23.84541551,5.961353892,5.861997977,6.744112625,3.974235919,,11.24018771,10.53714936,6.800337189
2022,sc01,01-03 12:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.689316044,6.395843498,,74.62197275,13.02492682,33.36961831,8.342404599,8.203364499,8.63954422,5.561603053,,14.39924037,14.35025826,6.800337189
2022,sc01,01-03 13:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.804420958,7.302446368,,59.31431043,14.85239652,38.09972025,9.524930088,9.366181226,10.12563822,6.349953377,,16.8760637,15.89382729,6.800337189
2022,sc01,01-03 14:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.838331534,7.537181798,,44.01323346,15.10606624,39.32442684,9.831106736,9.667254929,10.5156276,6.554071142,,17.526046,16.0700338,6.800337189
2022,sc01,01-03 15:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.763465579,7.035650874,,29.76910628,13.92806423,36.70774376,9.176935963,9.023987004,9.967228665,6.117957294,,16.61204777,15.06495187,6.800337189
2022,sc01,01-03 16:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.632599411,5.71895796,,19.53546152,11.18045324,29.83804158,7.459510415,7.33518522,7.58969885,4.973006932,,12.64949808,12.58396419,6.800337189
2022,sc01,01-03 17:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.498270544,4.073858471,,11.83388651,7.646737541,21.2549138,5.313728463,5.225166307,5.763813681,3.542485634,,9.606356136,9.088027012,6.800337189
2022,sc01,01-03 18:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.295284701,2.359899538,,9.288646037,3.9478809,12.31251935,3.078129846,3.026827673,2.868136207,2.052086559,,4.780227012,4.877396225,6.800337189
2022,sc01,01-03 19:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.062925612,0.397823584,,11.22803367,0.655034666,2.075601313,0.51890033,0.510251989,0.383371917,0.345933552,,0.638953194,0.449679016,6.800337189
2022,sc01,01-03 20:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,15.81802749,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.800337189
2022,sc01,01-03 21:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,21.18838612,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.800337189
2022,sc01,01-03 22:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,34.49080725,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.800337189
2022,sc01,01-03 23:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,39.23555696,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.800337189
2022,sc01,01-04 00:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,45.7517677,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.522723539
2022,sc01,01-04 01:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,56.28833889,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.522723539
2022,sc01,01-04 02:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,63.32808551,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.522723539
2022,sc01,01-04 03:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,70.62795374,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.522723539
2022,sc01,01-04 04:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,80.65086708,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.522723539
2022,sc01,01-04 05:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,91.48707201,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.522723539
2022,sc01,01-04 06:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,96.38657761,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.522723539
2022,sc01,01-04 07:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,98.3029165,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.522723539
2022,sc01,01-04 08:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,99.58706111,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,6.522723539
2022,sc01,01-04 09:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.144597563,1.519925846,,94.27926337,2.95401823,7.930047904,1.982511981,1.949470109,2.22630494,1.321674651,,3.710508234,3.650998908,6.522723539
2022,sc01,01-04 10:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.419106065,3.873692154,,76.60416521,7.815425695,20.2105678,5.052641963,4.968431249,6.128908785,3.368427967,,10.21484797,8.938603891,6.522723539
2022,sc01,01-04 11:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.613972475,5.788374969,,69.95624732,11.9056747,30.20021728,7.550054341,7.42422008,9.615967219,5.033369549,,16.02661203,14.26145018,6.522723539
2022,sc01,01-04 12:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.748301342,7.028681295,,56.79541138,14.4722391,36.67138073,9.167845208,9.015047761,11.80953145,6.111896791,,19.68255242,17.93500352,6.522723539
2022,sc01,01-04 13:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.807644851,7.561714717,,44.57628148,15.77149006,39.45242468,9.863106196,9.698721064,12.59849107,6.575404115,,20.99748511,19.45460847,6.522723539
2022,sc01,01-04 14:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.855167419,7.465813306,,31.20142143,15.47058312,38.95206949,9.738017399,9.575717081,12.04070163,6.492011584,,20.06783605,18.74132451,6.522723539
2022,sc01,01-04 15:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.801077661,7.195393631,,19.28851063,14.47244108,37.54118423,9.385296082,9.228874453,11.2562482,6.25686404,,18.76041366,17.53043337,6.522723539
2022,sc01,01-04 16:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.688719027,6.164453466,,12.49571489,12.27679367,32.16236597,8.040591513,7.906581632,9.516295562,5.360394329,,15.8604926,15.01420439,6.522723539
