Period,Scenario,LoadLevel,Manantali
2022,sc01,01-09 05:00:00+01:00,0.002997504402600492
2022,sc01,01-09 06:00:00+01:00,0.003006662160428334
2022,sc01,01-09 07:00:00+01:00,0.0030158199182561763
2022,sc01,01-09 08:00:00+01:00,0.003024977676084018
2022,sc01,01-09 09:00:00+01:00,0.0030341354339118603
2022,sc01,01-09 10:00:00+01:00,0.0030432931917397025
2022,sc01,01-09 11:00:00+01:00,0.0030524509495675448
2022,sc01,01-09 12:00:00+01:00,0.003061608707395387
2022,sc01,01-09 13:00:00+01:00,0.003070766465223229
2022,sc01,01-09 14:00:00+01:00,0.003079924223051071
2022,sc01,01-09 15:00:00+01:00,0.0030890819808789133
2022,sc01,01-09 16:00:00+01:00,0.0030982397387067555
2022,sc01,01-09 17:00:00+01:00,0.0031073974965345978
2022,sc01,01-09 18:00:00+01:00,0.0031165552543624396
2022,sc01,01-09 19:00:00+01:00,0.003125713012190282
2022,sc01,01-09 20:00:00+01:00,0.003134870770018124
2022,sc01,01-09 21:00:00+01:00,0.0031440285278459663
2022,sc01,01-09 22:00:00+01:00,0.0031531862856738085
2022,sc01,01-09 23:00:00+01:00,0.0031623440435016503
2022,sc01,01-10 00:00:00+01:00,0.0031715018013294925
2022,sc01,01-10 01:00:00+01:00,0.0031806595591573348
2022,sc01,01-10 02:00:00+01:00,0.003189817316985177
2022,sc01,01-10 03:00:00+01:00,0.0031989750748130192
2022,sc01,01-10 04:00:00+01:00,0.003208132832640861
2022,sc01,01-10 05:00:00+01:00,0.0032172905904687033
2022,sc01,01-10 06:00:00+01:00,0.0032264483482965455
2022,sc01,01-10 07:00:00+01:00,0.0032356061061243877
2022,sc01,01-10 08:00:00+01:00,0.00324476386395223
2022,sc01,01-10 09:00:00+01:00,0.0032539216217800718
2022,sc01,01-10 10:00:00+01:00,0.003263079379607914
2022,sc01,01-10 11:00:00+01:00,0.0032722371374357562
2022,sc01,01-10 12:00:00+01:00,0.0032813948952635985
2022,sc01,01-10 13:00:00+01:00,0.0032905526530914403
2022,sc01,01-10 14:00:00+01:00,0.0032997104109192825
2022,sc01,01-10 15:00:00+01:00,0.0033088681687471247
2022,sc01,01-10 16:00:00+01:00,0.003318025926574967
2022,sc01,01-10 17:00:00+01:00,0.003327183684402809
2022,sc01,01-10 18:00:00+01:00,0.003336341442230651
2022,sc01,01-10 19:00:00+01:00,0.0033454992000584933
2022,sc01,01-10 20:00:00+01:00,0.0033546569578863355
2022,sc01,01-10 21:00:00+01:00,0.0033638147157141777
2022,sc01,01-10 22:00:00+01:00,0.00337297247354202
2022,sc01,01-10 23:00:00+01:00,0.0033821302313698618
2022,sc01,01-11 00:00:00+01:00,0.003391287989197704
2022,sc01,01-11 01:00:00+01:00,0.0034004457470255462
2022,sc01,01-11 02:00:00+01:00,0.0034096035048533885
2022,sc01,01-11 03:00:00+01:00,0.0034187612626812307
2022,sc01,01-11 04:00:00+01:00,0.0034279190205090725
2022,sc01,01-11 05:00:00+01:00,0.0034370767783369147
2022,sc01,01-11 06:00:00+01:00,0.003446234536164757
2022,sc01,01-11 07:00:00+01:00,0.003455392293992599
2022,sc01,01-11 08:00:00+01:00,0.0034645500518204414
2022,sc01,01-11 09:00:00+01:00,0.0034737078096482832
2022,sc01,01-11 10:00:00+01:00,0.0034828655674761255
2022,sc01,01-11 11:00:00+01:00,0.0034920233253039677
2022,sc01,01-11 12:00:00+01:00,0.00350118108313181
2022,sc01,01-11 13:00:00+01:00,0.0035103388409596517
2022,sc01,01-11 14:00:00+01:00,0.003519496598787494
2022,sc01,01-11 15:00:00+01:00,0.003528654356615336
2022,sc01,01-11 16:00:00+01:00,0.0035378121144431784
2022,sc01,01-11 17:00:00+01:00,0.0035469698722710207
2022,sc01,01-11 18:00:00+01:00,0.0035561276300988625
2022,sc01,01-11 19:00:00+01:00,0.0035652853879267047
2022,sc01,01-11 20:00:00+01:00,0.003574443145754547
2022,sc01,01-11 21:00:00+01:00,0.003583600903582389
2022,sc01,01-11 22:00:00+01:00,0.0035927586614102314
2022,sc01,01-11 23:00:00+01:00,0.0036019164192380732
2022,sc01,01-12 00:00:00+01:00,0.0036110096731139804
2022,sc01,01-12 01:00:00+01:00,0.0036201029269898872
2022,sc01,01-12 02:00:00+01:00,0.003629196180865794
2022,sc01,01-12 03:00:00+01:00,0.003638289434741701
2022,sc01,01-12 04:00:00+01:00,0.003647382688617608
2022,sc01,01-12 05:00:00+01:00,0.003656475942493515
2022,sc01,01-12 06:00:00+01:00,0.0036655691963694216
2022,sc01,01-12 07:00:00+01:00,0.0036746624502453284
2022,sc01,01-12 08:00:00+01:00,0.0036837557041212356
2022,sc01,01-12 09:00:00+01:00,0.0036928489579971424
2022,sc01,01-12 10:00:00+01:00,0.0037019422118730492
2022,sc01,01-12 11:00:00+01:00,0.003711035465748956
2022,sc01,01-12 12:00:00+01:00,0.0037201287196248632
2022,sc01,01-12 13:00:00+01:00,0.00372922197350077
2022,sc01,01-12 14:00:00+01:00,0.003738315227376677
2022,sc01,01-12 15:00:00+01:00,0.0037474084812525836
2022,sc01,01-12 16:00:00+01:00,0.003756501735128491
2022,sc01,01-12 17:00:00+01:00,0.0037655949890043976
2022,sc01,01-12 18:00:00+01:00,0.0037746882428803044
