Period,Scenario,LoadLevel,Centrale_Kael_Solaire,Centrale_Kahone_Solaire,Felou_Gouina,PETN_Taiba_Ndiaye_Wind,PV_Bokhol,PV_Kahone,PV_Malicounda,PV_Sakal,PV_Senergy_or_Santhiou_Mekhe,PV_Ten_Merina,Solar_CICAD,Solar_DIASS
2022,sc01,01-03 14:00:00+01:00,6.558967236252121e-06,7.15323707004571e-06,5.551100809522609e-06,7.185581805699887e-05,6.165524899942292e-06,4.291942242027426e-06,1.605022306972083e-05,2.675037179103103e-06,4.01255577804208e-06,3.945679836952665e-06,3.4216412566742583e-07,3.0762927497238895e-06
2022,sc01,01-03 15:00:00+01:00,6.14874411347194e-06,6.780189662730211e-06,5.551100809522609e-06,4.860091650660429e-05,5.684724630074214e-06,4.068113798862574e-06,1.4982226648370722e-05,2.4970377750005526e-06,3.7455566714801057e-06,3.683130716227923e-06,3.1160766560847276e-07,2.8715934354957355e-06
2022,sc01,01-03 16:00:00+01:00,5.136131625583759e-06,5.162879213219459e-06,5.551100809522609e-06,3.1893511525717896e-05,4.563290121244727e-06,3.0977275287479728e-06,1.217836499616749e-05,2.029727500177546e-06,3.044591257204851e-06,2.9938480608435807e-06,2.581947780608519e-07,2.3341866203880205e-06
2022,sc01,01-03 17:00:00+01:00,3.7092685775111594e-06,3.920824059237107e-06,5.551100809522609e-06,1.93199528669606e-05,3.12100780992994e-06,2.3524944352973752e-06,8.675170504219043e-06,1.445861750975273e-06,2.168792631360697e-06,2.132646081402859e-06,2.0336859359222506e-07,1.6627410103155578e-06
2022,sc01,01-03 18:00:00+01:00,1.99070409161148e-06,1.9510445804759524e-06,5.551100809522609e-06,1.5164604078387463e-05,1.6113233984439741e-06,1.1706267482039415e-06,5.02534170229127e-06,8.375569506539778e-07,1.2563354290420834e-06,1.23539650159219e-06,1.205201372523251e-07,9.63190491272552e-07
2022,sc01,01-03 19:00:00+01:00,1.8353601302158386e-07,2.607880678474145e-07,5.551100809522609e-06,1.8330840092960016e-05,2.6735170357285437e-07,1.5647284095333807e-07,8.47154472536883e-07,1.4119241202145569e-07,2.117886188484814e-07,2.0825880765001735e-07,2.568302173882878e-08,1.6237127349815488e-07
2022,sc01,01-03 20:00:00+01:00,0.0,0.0,5.551100809522609e-06,2.5824444513376285e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-03 21:00:00+01:00,0.0,0.0,5.551100809522609e-06,3.459206920899922e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-03 22:00:00+01:00,0.0,0.0,5.551100809522609e-06,5.630954546085326e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-03 23:00:00+01:00,0.0,0.0,5.551100809522609e-06,6.405580369015622e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-04 00:00:00+01:00,0.0,0.0,5.3244853764316886e-06,7.469414167502698e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-04 01:00:00+01:00,0.0,0.0,5.3244853764316886e-06,9.189610305923961e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-04 02:00:00+01:00,0.0,0.0,5.3244853764316886e-06,0.00010338916349875075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-04 03:00:00+01:00,0.0,0.0,5.3244853764316886e-06,0.0001153068973742147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-04 04:00:00+01:00,0.0,0.0,5.3244853764316886e-06,0.0001316702631336207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-04 05:00:00+01:00,0.0,0.0,5.3244853764316886e-06,0.00014936140528944709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-04 06:00:00+01:00,0.0,0.0,5.3244853764316886e-06,0.0001573603173276368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-04 07:00:00+01:00,0.0,0.0,5.3244853764316886e-06,0.00016048892406225754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-04 08:00:00+01:00,0.0,0.0,5.3244853764316886e-06,0.00016258541309978518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,sc01,01-04 09:00:00+01:00,1.4901513285656107e-06,1.5144399968001136e-06,5.3244853764316886e-06,0.00015391992504752903,1.205679404722937e-06,9.086639979168084e-07,3.236640633838978e-06,5.394401057758792e-07,8.091601605004892e-07,7.956741555194395e-07,5.9017341840245663e-08,6.203561205606664e-07
2022,sc01,01-04 10:00:00+01:00,3.6482816892958066e-06,4.169179355336918e-06,5.3244853764316886e-06,0.00012506363484383824,3.1898577009133578e-06,2.5015076144265975e-06,8.248921792949315e-06,1.3748202989609355e-06,2.062230453543265e-06,2.0278599400184336e-06,1.7105769552578985e-07,1.5810433405194767e-06
2022,sc01,01-04 11:00:00+01:00,5.8207957516593344e-06,6.541244686921198e-06,5.3244853764316886e-06,0.00011421027232513479,4.85928849028157e-06,3.924746812560868e-06,1.232618662365322e-05,2.054364438227884e-06,3.081546664484433e-06,3.0301875444372184e-06,2.5059221390596103e-07,2.3625190989214277e-06
2022,sc01,01-04 12:00:00+01:00,7.320152647702984e-06,8.033412876119457e-06,5.3244853764316886e-06,9.272394745327313e-05,5.906829025593391e-06,4.8200477248553766e-06,1.4967385116277563e-05,2.4945641871346575e-06,3.7418462894771883e-06,3.6794821736869676e-06,3.054183983745879e-07,2.8687488092254743e-06
2022,sc01,01-04 13:00:00+01:00,7.940377794901898e-06,8.570101257670144e-06,5.3244853764316886e-06,7.277504786362606e-05,6.437116925691593e-06,5.142060756234683e-06,1.6102465252240138e-05,2.683744209386938e-06,4.025616323671907e-06,3.958522706549896e-06,3.296393885765645e-07,3.086305834570707e-06
2022,sc01,01-04 14:00:00+01:00,7.649251703817747e-06,8.190665980704357e-06,5.3244853764316886e-06,5.09393081385715e-05,6.314302077559732e-06,4.914399588422614e-06,1.5898245812595975e-05,2.6497076363850103e-06,3.974561463964942e-06,3.908318761463886e-06,3.490356742579651e-07,3.047163775475639e-06
2022,sc01,01-04 15:00:00+01:00,7.155027770453777e-06,7.657042920126076e-06,5.3244853764316886e-06,3.1490340551311284e-05,5.906911463515979e-06,4.594225753708241e-06,1.5322394491458678e-05,2.5537324159233614e-06,3.830598632864319e-06,3.7667553110380643e-06,3.269589969494951e-07,2.9367922721896315e-06
2022,sc01,01-04 16:00:00+01:00,6.128031583381159e-06,6.47344321791154e-06,5.3244853764316886e-06,2.040045106988083e-05,5.010760303924029e-06,3.884065931563221e-06,1.3127035528548804e-05,2.1878392550302334e-06,3.2817588905042546e-06,3.2270628998329063e-06,2.810999397572169e-07,2.5160151382441287e-06
