Period,Scenario,LoadLevel,Centrale_C_Cap_CTag,Contour_Global,Diesel_Bel_Air,Gas_Turbines,KPS_KarPowerShip,Kounoune_Power,Malicounda_Power,Manantali,Secondary_Plants,Tobene_Power
2022,sc01,01-06 16:00:00+01:00,177.725446815,23.619608564269242,265.79475307000007,,153.10737940143986,,,200.0,,39.193313273324826
2022,sc01,01-06 17:00:00+01:00,66.27898668413468,68.4,145.25910990967185,29.6738022825,266.0,,,200.0,,
2022,sc01,01-06 18:00:00+01:00,9.035422756587863,68.4,265.79475307000007,29.6738022825,141.28543490173024,,,200.0,,
2022,sc01,01-06 19:00:00+01:00,,68.4,144.56266525071504,19.16977871590173,266.0,,,200.0,,
2022,sc01,01-06 20:00:00+01:00,32.06898418305948,68.4,265.79475307000007,29.6738022825,150.852073400581,,,200.0,,
2022,sc01,01-06 21:00:00+01:00,86.96426053562848,68.4,157.56967153330237,29.6738022825,266.0,,,200.0,,
2022,sc01,01-06 22:00:00+01:00,117.64355044011447,68.4,265.79475307000007,29.6738022825,169.64077194987786,,,200.0,,32.754014246329014
2022,sc01,01-06 23:00:00+01:00,124.68897834658667,68.4,265.79475307000007,29.6738022825,182.48866889004202,,,200.0,,67.48657255691617
2022,sc01,01-07 00:00:00+01:00,128.33285591146065,68.4,265.79475307000007,29.6738022825,188.91261745093234,1.5727738994513323,,200.0,,87.82230993666195
2022,sc01,01-07 01:00:00+01:00,177.725446815,20.653828866945133,265.79475307000007,29.6738022825,191.48219698425828,4.277581072298885,,200.0,0.30935224291912466,94.45388660840229
2022,sc01,01-07 02:00:00+01:00,130.80248550900322,68.4,192.56173973011332,29.6738022825,266.0,5.628431945148872,,200.0,0.5135926839430726,95.77286322702494
2022,sc01,01-07 03:00:00+01:00,131.62569533606148,68.4,193.8465294059678,29.6738022825,266.0,6.979282817999185,,200.0,0.7178331249670152,97.20379094564765
2022,sc01,01-07 04:00:00+01:00,128.33285591146065,68.4,265.79475307000007,29.6738022825,188.91261745093234,1.5727738994513323,,200.0,,83.82829083666196
2022,sc01,01-07 05:00:00+01:00,121.2738296459026,68.4,265.79475307000007,29.6738022825,176.06472051076818,,,200.0,,35.07338019372192
2022,sc01,01-07 06:00:00+01:00,177.725446815,,265.79475307000007,9.1360892453237,157.69969666721315,,,200.0,,
2022,sc01,01-07 07:00:00+01:00,28.523386839404445,68.4,265.79475307000007,29.6738022825,147.0563142786624,,,200.0,,
2022,sc01,01-07 08:00:00+01:00,,68.4,141.82523648496402,21.702216758048475,266.0,,,200.0,,
2022,sc01,01-07 09:00:00+01:00,26.953091437999483,68.4,146.90157670880092,29.6738022825,266.0,,,200.0,,
2022,sc01,01-07 10:00:00+01:00,95.54024343513302,68.4,150.61161778978982,29.6738022825,266.0,,,200.0,,
2022,sc01,01-07 11:00:00+01:00,177.725446815,22.02605424673657,147.71278329353188,,266.0,,,200.0,,23.510609324529806
2022,sc01,01-07 12:00:00+01:00,98.39187223163795,68.4,265.79475307000007,29.6738022825,144.10435978226207,,3.113573308236129,200.0,,35.771103903144194
2022,sc01,01-07 13:00:00+01:00,177.725446815,,147.67101486991075,22.940171392627867,266.0,,13.89520924602086,200.0,,54.52083270183941
2022,sc01,01-07 14:00:00+01:00,107.3749623710047,68.4,152.73325868891632,29.6738022825,266.0,,19.637830522236378,200.0,,60.432930800666554
2022,sc01,01-07 15:00:00+01:00,109.56545674851363,68.4,265.79475307000007,29.6738022825,156.79287482809718,,19.765235110013375,200.0,,56.08497782309614
2022,sc01,01-07 16:00:00+01:00,107.34760714606801,68.4,265.79475307000007,29.6738022825,152.93850561891628,,4.935939044633256,200.0,,27.22152316837956
2022,sc01,01-07 17:00:00+01:00,68.68135053173033,68.4,145.14537725194342,29.6738022825,266.0,,,200.0,,
2022,sc01,01-07 18:00:00+01:00,,68.4,141.7047124495902,23.998086349617616,266.0,,,200.0,,
