Period,Scenario,LoadLevel,MW
2022,sc01,01-16 03:00:00+01:00,264.40030663475426
2022,sc01,01-16 04:00:00+01:00,288.5933482482459
2022,sc01,01-16 05:00:00+01:00,353.1028977631629
2022,sc01,01-16 06:00:00+01:00,434.9059143862253
2022,sc01,01-16 07:00:00+01:00,495.67741114467
2022,sc01,01-16 08:00:00+01:00,521.2961441054342
2022,sc01,01-16 09:00:00+01:00,463.24865417867
2022,sc01,01-16 10:00:00+01:00,395.76652426267697
2022,sc01,01-16 11:00:00+01:00,370.3101897632631
2022,sc01,01-16 12:00:00+01:00,371.2700668141284
2022,sc01,01-16 13:00:00+01:00,346.1599592682631
2022,sc01,01-16 14:00:00+01:00,333.26466402331977
2022,sc01,01-16 15:00:00+01:00,329.24987544368366
2022,sc01,01-16 16:00:00+01:00,366.36607978354897
2022,sc01,01-16 17:00:00+01:00,428.0398211501284
2022,sc01,01-16 18:00:00+01:00,496.06700898358054
2022,sc01,01-16 19:00:00+01:00,506.28341624300845
2022,sc01,01-16 20:00:00+01:00,468.48070493449245
2022,sc01,01-16 21:00:00+01:00,416.50642688622526
2022,sc01,01-16 22:00:00+01:00,347.94029690932217
2022,sc01,01-16 23:00:00+01:00,297.39186476823875
2022,sc01,01-17 00:00:00+01:00,270.10859897624584
2022,sc01,01-17 01:00:00+01:00,260.55731851334065
2022,sc01,01-17 02:00:00+01:00,258.4438090380474
2022,sc01,01-17 03:00:00+01:00,258.11822396275426
2022,sc01,01-17 04:00:00+01:00,290.7075956762459
2022,sc01,01-17 05:00:00+01:00,363.0965248111629
2022,sc01,01-17 06:00:00+01:00,448.79148744422525
2022,sc01,01-17 07:00:00+01:00,510.49481220267
2022,sc01,01-17 08:00:00+01:00,536.0806183634342
2022,sc01,01-17 09:00:00+01:00,480.85096824767
2022,sc01,01-17 10:00:00+01:00,403.93992893467697
2022,sc01,01-17 11:00:00+01:00,374.6518122622631
2022,sc01,01-17 12:00:00+01:00,371.6341293491284
2022,sc01,01-17 13:00:00+01:00,348.7694465402631
2022,sc01,01-17 14:00:00+01:00,337.8394972763198
2022,sc01,01-17 15:00:00+01:00,333.8796606526837
2022,sc01,01-17 16:00:00+01:00,370.88579523254896
2022,sc01,01-17 17:00:00+01:00,434.1598096371284
2022,sc01,01-17 18:00:00+01:00,502.6410313095805
2022,sc01,01-17 19:00:00+01:00,525.4556900750084
2022,sc01,01-17 20:00:00+01:00,494.48333490249246
2022,sc01,01-17 21:00:00+01:00,443.76027469422525
2022,sc01,01-17 22:00:00+01:00,361.3187974373222
2022,sc01,01-17 23:00:00+01:00,312.27182669623875
2022,sc01,01-18 00:00:00+01:00,284.8453046152459
2022,sc01,01-18 01:00:00+01:00,273.2393926523406
2022,sc01,01-18 02:00:00+01:00,270.28295747704743
2022,sc01,01-18 03:00:00+01:00,270.8266395417543
2022,sc01,01-18 04:00:00+01:00,307.02149427524586
2022,sc01,01-18 05:00:00+01:00,377.8464011001629
2022,sc01,01-18 06:00:00+01:00,457.71003012322524
2022,sc01,01-18 07:00:00+01:00,517.93823491167
2022,sc01,01-18 08:00:00+01:00,540.7878252524342
2022,sc01,01-18 09:00:00+01:00,483.33117150167
2022,sc01,01-18 10:00:00+01:00,418.616756692677
2022,sc01,01-18 11:00:00+01:00,385.8972321032631
2022,sc01,01-18 12:00:00+01:00,384.16604032112843
2022,sc01,01-18 13:00:00+01:00,364.6898152022631
