Region,Sector,Technology,Type,PathwayScenario,Year,Value
LS,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2050,0.014588686544298235
FKK,Power,RES_PV_Utility_Opt,PeakCapacity,BAU_BAU,2050,0.0015391733619034148
Thies,Power,RES_Wind_Onshore_Opt,PeakCapacity,BAU_BAU,2050,0.006273636653876182
Dakar,Power,P_Gas_OCGT,PeakCapacity,BAU_BAU,2050,0.004623396354365168
Dakar,Power,P_Gas_CCGT,NewCapacity,BAU_BAU,2025,0.18224018381473758
Dakar,Power,P_Gas_CCGT,NewCapacity,BAU_BAU,2030,0.25513625734063416
Dakar,Power,P_Gas_CCGT,NewCapacity,BAU_BAU,2035,0.07289607352589567
Dakar,Power,P_Gas_CCGT,NewCapacity,BAU_BAU,2040,0.07289607352589567
Dakar,Power,P_Gas_CCGT,NewCapacity,BAU_BAU,2045,0.14579214705179067
Dakar,Power,P_Gas_CCGT,NewCapacity,BAU_BAU,2050,0.145792147051791
Dakar,Power,P_Oil,NewCapacity,BAU_BAU,2040,0.29794721030843474
Dakar,Power,P_Oil,NewCapacity,BAU_BAU,2045,0.11494614264827463
Dakar,Power,P_Oil,NewCapacity,BAU_BAU,2050,0.24827406731465806
Dakar,Power,P_Coal_Hardcoal,NewCapacity,BAU_BAU,2030,0.02209964415756058
Dakar,Power,RES_PV_Utility_Opt,NewCapacity,BAU_BAU,2025,0.028631853239292217
Dakar,Power,RES_PV_Utility_Opt,NewCapacity,BAU_BAU,2030,0.06936835761012128
Dakar,Power,RES_PV_Utility_Opt,NewCapacity,BAU_BAU,2035,0.7682164270765222
Dakar,Power,RES_PV_Utility_Opt,NewCapacity,BAU_BAU,2040,0.6688182934278434
Dakar,Power,RES_PV_Utility_Opt,NewCapacity,BAU_BAU,2045,0.35745879619813503
Dakar,Power,RES_PV_Utility_Opt,NewCapacity,BAU_BAU,2050,0.24324275328523393
Dakar,Power,P_Gas_OCGT,NewCapacity,BAU_BAU,2025,0.1093441102888438
Dakar,Power,P_Gas_OCGT,NewCapacity,BAU_BAU,2030,0.10934411028884167
Dakar,Power,P_Gas_OCGT,NewCapacity,BAU_BAU,2035,0.1457921470517916
Dakar,Power,P_Gas_OCGT,NewCapacity,BAU_BAU,2040,0.0668973466049484
Dakar,Power,P_Gas_OCGT,NewCapacity,BAU_BAU,2045,0.05130486516129806
Diourbel,Power,RES_PV_Utility_Opt,NewCapacity,BAU_BAU,2025,0.002114406922446091
Diourbel,Power,RES_PV_Utility_Opt,NewCapacity,BAU_BAU,2030,0.00849459949839445
Diourbel,Power,RES_PV_Utility_Opt,NewCapacity,BAU_BAU,2035,0.008495040158222188
