  301703    9.6482583e+04   0.000000e+00   2.094742e+07    581s
  302929    9.6480223e+04   0.000000e+00   2.737219e+08    586s
  303449    9.6478798e+04   0.000000e+00   2.477544e+07    591s
  304089    9.6478571e+04   0.000000e+00   1.845688e+06    596s
  304769    9.6478409e+04   0.000000e+00   3.327160e+08    601s
  305339    9.6478201e+04   0.000000e+00   2.596747e+07    606s
  305929    9.6477849e+04   0.000000e+00   9.006861e+08    611s
  306649    9.6475774e+04   0.000000e+00   3.204700e+06    615s
  307449    9.6475617e+04   0.000000e+00   2.004897e+07    621s
  308169    9.6475416e+04   0.000000e+00   1.348212e+07    626s
  308819    9.6475221e+04   0.000000e+00   5.853219e+06    631s
  309339    9.6475040e+04   0.000000e+00   1.862633e+06    635s
  309899    9.6474785e+04   0.000000e+00   4.526196e+07    640s
  310549    9.6474617e+04   0.000000e+00   6.387678e+07    645s
  311279    9.6474376e+04   0.000000e+00   7.592613e+07    651s
  311989    9.6474147e+04   0.000000e+00   1.955964e+07    656s
  312659    9.6473971e+04   0.000000e+00   5.918628e+06    661s
  313905    9.6473803e+04   0.000000e+00   5.025320e+08    666s
  314635    9.6473550e+04   0.000000e+00   4.042514e+08    670s
  315675    9.6473328e+04   0.000000e+00   1.464378e+08    676s
  316365    9.6473250e+04   0.000000e+00   2.319754e+07    681s
  317415    9.6473102e+04   0.000000e+00   5.755511e+05    686s
  318125    9.6473028e+04   0.000000e+00   6.587901e+06    691s
  318875    9.6472769e+04   0.000000e+00   2.822316e+06    695s
  319745    9.6472582e+04   0.000000e+00   8.086631e+07    701s
  320475    9.6472440e+04   0.000000e+00   5.755898e+07    705s
  321475    9.6472170e+04   0.000000e+00   1.287138e+08    711s
  322548    9.6471664e+04   0.000000e+00   8.325642e+07    715s
  323328    9.6469648e+04   0.000000e+00   1.874006e+09    721s
  324108    9.6468716e+04   0.000000e+00   9.906436e+07    726s
  324778    9.6468575e+04   0.000000e+00   2.699341e+06    730s
  325891    9.6462273e+04   0.000000e+00   5.676717e+07    736s
  327001    9.6461597e+04   0.000000e+00   9.456307e+07    741s
  327781    9.6461436e+04   0.000000e+00   5.196229e+05    745s
  328841    9.6461334e+04   0.000000e+00   2.573460e+07    751s
  329571    9.6461134e+04   0.000000e+00   7.761117e+05    755s
