Type,Sector,Region,Fuel,Year,Value
Final Energy Demand [TWh],Industry,FKK,Gas_Bio,2030,0.08250000000000017
Final Energy Demand [TWh],Industry,ZS,Oil,2022,0.03893973243055523
Final Energy Demand [TWh],Industry,ZS,Oil,2025,0.03883342810972227
Final Energy Demand [TWh],Industry,ZS,Oil,2030,0.006507128046908321
Final Energy Demand [TWh],Industry,ZS,Oil,2035,0.0028947721812848785
Final Energy Demand [TWh],Industry,ZS,Gas_Natural,2030,0.04526578962546986
Final Energy Demand [TWh],Industry,ZS,Gas_Natural,2035,0.2604898205384747
Final Energy Demand [TWh],Industry,ZS,Gas_Natural,2040,0.43732089520025696
Final Energy Demand [TWh],Industry,ZS,Gas_Natural,2045,0.642361732918457
Final Energy Demand [TWh],Industry,ZS,Gas_Natural,2050,0.9435909549292999
Final Energy Demand [TWh],Industry,ZS,Hardcoal,2022,0.1897978564166669
Final Energy Demand [TWh],Industry,ZS,Hardcoal,2025,0.2335930314167005
Final Energy Demand [TWh],Industry,ZS,Hardcoal,2030,0.26628972748621355
Final Energy Demand [TWh],Industry,ZS,Hardcoal,2035,0.30837949889255545
Final Energy Demand [TWh],Industry,ZS,Hardcoal,2040,0.3895487864110895
Final Energy Demand [TWh],Industry,ZS,Hardcoal,2045,0.5685075376437269
Final Energy Demand [TWh],Industry,ZS,Hardcoal,2050,0.8308987733009344
Final Energy Demand [TWh],Industry,ZS,Biomass,2022,0.21878142279166696
Final Energy Demand [TWh],Industry,ZS,Biomass,2025,0.25177835903591006
Final Energy Demand [TWh],Industry,ZS,Biomass,2030,0.25756992151613306
Final Energy Demand [TWh],Industry,ZS,Biomass,2035,0.3689532234069349
Final Energy Demand [TWh],Industry,ZS,Biomass,2040,0.5316055907800137
Final Energy Demand [TWh],Industry,ZS,Biomass,2045,0.47739296785878094
Final Energy Demand [TWh],Industry,ZS,Biomass,2050,0.3731898599005078
Final Energy Demand [TWh],Industry,ZS,Power,2025,0.017663921125344307
Final Energy Demand [TWh],Industry,ZS,Power,2030,0.11306281504460755
Final Energy Demand [TWh],Industry,ZS,Power,2035,0.1735015645278183
Final Energy Demand [TWh],Industry,ZS,Power,2040,0.26268491612723166
Final Energy Demand [TWh],Industry,ZS,Power,2045,0.6220360690727045
Final Energy Demand [TWh],Industry,ZS,Power,2050,1.1710276383818794
Final Energy Demand [TWh],Industry,ZS,Gas_Bio,2025,0.017685886652633487
Final Energy Demand [TWh],Industry,ZS,Gas_Bio,2030,0.08249999999999998
Final Energy Demand [TWh],Industry,MTKK,Oil,2022,0.20673289554722238
Final Energy Demand [TWh],Industry,MTKK,Oil,2025,0.2060603071736114
Final Energy Demand [TWh],Industry,MTKK,Oil,2030,0.009759909942414031
Final Energy Demand [TWh],Industry,MTKK,Oil,2035,0.005659916715538295
Final Energy Demand [TWh],Industry,MTKK,Gas_Natural,2030,0.10117423390754833
Final Energy Demand [TWh],Industry,MTKK,Gas_Natural,2035,0.31387263418720135
Final Energy Demand [TWh],Industry,MTKK,Gas_Natural,2040,0.5112274215678771
Final Energy Demand [TWh],Industry,MTKK,Gas_Natural,2045,0.7509624966422901
Final Energy Demand [TWh],Industry,MTKK,Gas_Natural,2050,1.1029682912787233
Final Energy Demand [TWh],Industry,MTKK,Hardcoal,2022,0.2733414732722219
Final Energy Demand [TWh],Industry,MTKK,Hardcoal,2025,0.5195300821544185
