Timestep,a_0,b
42,-260.10376171270536361,1326292592.5498113632
42,-260.10447952850921638,1326292982.9599161148
43,0,1069540509.016728878
43,-261.91814408177418727,1141877016.6321172714
43,-192.08654375342078424,1128211716.4067430496
43,-756.14449137552776392,1256103805.1863338947
43,-260.10376171270536361,1302868738.4300396442
43,-260.10447952850921638,1302869131.0844590664
44,0,1049671658.1520459652
44,-261.91814408177418727,1117898376.4091329575
44,-192.08654375342078424,1105162611.7012324333
44,-756.14449137552776392,1239790737.4779920578
44,-260.10376171270536361,1278866869.9666259289
44,-260.10447952850921638,1278867260.4698150158
45,0,1030106729.5643888712
45,-261.91814408177418727,1093454454.4360132217
45,-192.08654375342078424,1081865117.776695013
45,-756.14449137552776392,1221649860.3334112167
45,-260.10376171270536361,1254407607.1963887215
45,-260.10447952850921638,1254407991.277215004
46,0,1010348110.9820996523
46,-261.91814408177418727,1068063977.4325150251
46,-192.08654375342078424,1057832003.785051465
46,-756.14449137552776392,1201205116.6751489639
46,-260.10376171270536361,1229011372.2561018467
46,-260.10447952850921638,1229011745.6448686123
47,0,989982323.71878433228
47,-261.91814408177418727,1041500939.4218831062
47,-192.08654375342078424,1032794797.4774069786
47,-756.14449137552776392,1178592108.506572485
47,-260.10376171270536361,1202451025.1473834515
47,-260.10447952850921638,1202451384.4342782497
48,0,970464378.43764197826
48,-261.91814408177418727,1015602371.8301206827
48,-192.08654375342078424,1008441823.6574872732
48,-756.14449137552776392,1156087774.4547009468
48,-260.10376171270536361,1176560098.4223036766
48,-260.10447952850921638,1176560442.5110538006
49,0,950448436.9894837141
49,-261.91814408177418727,988866897.99893021584
49,-192.08654375342078424,983356130.54944777489
49,-756.14449137552776392,1132142481.4165673256
49,-260.10376171270536361,1149837582.0155861378
49,-260.10447952850921638,1149837909.4870493412
50,0,930549129.28623616695
50,-261.91814408177418727,962039446.46741914749
50,-192.08654375342078424,958234041.43081820011
50,-756.14449137552776392,1107732699.6245172024
50,-260.10376171270536361,1123026701.4223330021
50,-260.10447952850921638,1123027011.569901228
51,0,911046543.03280484676
51,-261.91814408177418727,935530905.95408535004
51,-192.08654375342078424,933441212.17282319069
51,-756.14449137552776392,1083387698.945445776
51,-260.10376171270536361,1096536937.4007034302
51,-260.10447952850921638,1096537230.1240813732
52,0,898474517.56738996506
52,-261.9178115734689527,917974272.72376036644
52,-192.08654375342078424,916649302.56464970112
52,-756.14449137552776392,1067781094.7335175276
52,-260.10376171270536361,1078984875.3691864014
52,-260.10447952850915954,1078985160.5184783936
53,0,887019012.78926825523
53,-261.91747906516371813,901706052.22986197472
53,-192.08654375342078424,901042964.7914712429
53,-756.14449137552776392,1053212279.9502938986
53,-260.10376171270536361,1062720238.5128229856
53,-260.1054024345425546,1062720871.0844628811
54,0,876043779.19102871418
54,-261.91601602862056097,886057025.4008834362
54,-192.08654375342078424,885981618.78498363495
54,-756.14449137552776392,1039091052.1855441332
54,-260.10376171270536361,1047074943.8021837473
54,-260.1054024345425546,1047075563.1566810608
55,0,864736187.82174110413
55,-261.90777261656364772,869849154.39027953148
55,-3319.8284467385242351,961426078.44585430622
55,-756.14449137552776392,1024264330.9815391302
55,-260.10376171270536361,1030872283.3648961782
55,-260.1054024345425546,1030872887.4595564604
56,0,854055081.78163123131
56,-9990.8037307170761778,872348461.93973040581
56,-3319.8284467385242351,953884130.8324868679
56,-756.14449137552776392,1010206054.796744585
56,-260.10376171270536361,1015562031.1556221247
56,-260.1054024345425546,1015562622.524820447
57,0,844283118.23082053661
57,-9990.8037307170761778,879961342.28553152084
57,-3319.8284467385242351,946654133.35027074814
57,-756.14449137552776392,997271876.72334992886
57,-260.10376171270536361,1001530835.906930685
57,-260.1054024345425546,1001531417.8461740017
58,0,834454580.45441460609
58,-9990.8037307170761778,884326505.8973647356
58,-3319.8284467385242351,938261139.8990521431
58,-756.14449137552776392,983975869.6691429615
58,-260.10376171270536361,987293366.47845065594
58,-260.1054024345425546,987293937.8861553669
59,0,824589853.28378117085
59,-9990.8037307170761778,885537786.51696872711
59,-3319.8284467385242351,928772933.78201067448
59,-756.14449137552776392,970375805.64382338524
59,-260.10376171270536361,972905123.97181963921
59,-260.1054024345425546,972905684.08072650433
60,0,815229615.62955164909
