Period,Scenario,LoadLevel,Centrale_Kael_Solaire,Centrale_Kahone_Solaire,Dakar_PV_29,Diourbel_PV_25,FKK_PV_25,Felou_Gouina,LS_PV_2029,PETN_Taiba_Ndiaye_Wind,PV_Bokhol,PV_Kahone,PV_Malicounda,PV_Sakal,PV_Senergy_or_Santhiou_Mekhe,PV_Ten_Merina,Solar_CICAD,Solar_DIASS,Thies_PV_2025,Thies_wind_2025
2030,sc01,04-22 03:00:00+01:00,0.0,0.0,0.0,0.0,0.0,4.3077944444437656e-07,0.0,0.00013215022291834046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.41031664415645e-05
2030,sc01,04-22 05:00:00+01:00,0.0,0.0,0.0,0.0,0.0,4.3077944444437656e-07,0.0,0.00017418771921985635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011085670851958116
2030,sc01,04-22 07:00:00+01:00,0.0,0.0,0.0,0.0,0.0,4.3077944444437656e-07,0.0,0.00021355990951800997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013591399409512434
2030,sc01,04-22 09:00:00+01:00,2.688510360647813e-06,3.120322508661107e-06,7.462913328900371e-06,9.499403275724573e-07,0.0,4.3077944444437656e-07,0.0,0.00020429933102729224,2.3453671038689205e-06,1.8721935051384694e-06,5.767340649003101e-06,9.612234415490163e-07,1.4418351661065836e-06,1.41780457589195e-06,3.969634752077478e-07,1.105406955482436e-06,1.5512177572111193e-05,0.0001300203682128637
2030,sc01,04-22 11:00:00+01:00,8.911654580703167e-06,1.0299338879987439e-05,2.78737319693056e-05,3.148784618631522e-06,0.0,4.3077944444437656e-07,0.0,0.00016742019906605234,7.5409793083468306e-06,6.179603327410462e-06,1.9934225051996715e-05,3.3223708431634693e-06,4.983556276676392e-06,4.900496990857931e-06,1.4826453177205783e-06,3.8207264617517695e-06,5.361626051724614e-05,0.00010654971710801952
2030,sc01,04-22 13:00:00+01:00,1.2372750546206592e-05,1.4277426412194594e-05,4.007368382903396e-05,4.3717051933422035e-06,0.0,4.3077944444437656e-07,0.0,0.0001532958903940003,1.0382936843168627e-05,8.566455846152745e-06,2.8229949818211716e-05,4.7049916379206425e-06,7.057487475650758e-06,6.939862661546061e-06,2.131578927237257e-06,5.410740372681522e-06,7.592892826827549e-05,9.756071159668962e-05
2030,sc01,04-22 15:00:00+01:00,1.2298774927911004e-05,1.4117812944097192e-05,4.092136440759762e-05,4.3455671411758225e-06,0.0,4.3077944444437656e-07,0.0,0.00017431917137716683,1.032698458890861e-05,8.470687764130285e-06,2.8501740096518857e-05,4.75029001705649e-06,7.125435042317498e-06,7.006677772357411e-06,2.1766683194168505e-06,5.4628335084840425e-06,7.665995134641645e-05,0.00011094036741620557
2030,sc01,04-22 17:00:00+01:00,9.040345893434846e-06,1.0275401962974159e-05,3.0364139944428878e-05,3.19425554920765e-06,0.0,4.3077944444437656e-07,0.0,0.00016738393639514313,7.573040516641144e-06,6.165241178657517e-06,2.1143814201528407e-05,3.523969034655083e-06,5.285953564641323e-06,5.197854322675126e-06,1.615113826763216e-06,4.052564381399667e-06,5.6869642435698546e-05,0.00010652663879411766
2030,sc01,04-22 19:00:00+01:00,2.960775656161807e-06,3.255658805582518e-06,1.0161086153485367e-05,1.046140731777879e-06,0.0,4.3077944444437656e-07,0.0,0.00014422115807277691,2.4532189179942837e-06,1.9533952832913172e-06,7.074872236889443e-06,1.1791453733484145e-06,1.7687180642421877e-06,1.739239425026883e-06,5.404833061169468e-07,1.3560171766297875e-06,1.9028991202337864e-05,9.178536209354628e-05
2030,sc01,04-22 21:00:00+01:00,0.0,0.0,0.0,0.0,0.0,4.3077944444437656e-07,0.0,0.0001785075093841132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011360591334700102
