Period,Scenario,LoadLevel,Manantali
2030,sc01,01-24 21:00:00+01:00,14.269456798980038
2030,sc01,01-24 23:00:00+01:00,14.311803105760038
2030,sc01,01-25 01:00:00+01:00,14.353937911320038
2030,sc01,01-25 03:00:00+01:00,14.396072716880038
2030,sc01,01-25 05:00:00+01:00,14.438207522440038
2030,sc01,01-25 07:00:00+01:00,14.480342328000038
2030,sc01,01-25 09:00:00+01:00,14.522477133560038
2030,sc01,01-25 11:00:00+01:00,14.564611939120038
2030,sc01,01-25 13:00:00+01:00,14.606746744680038
2030,sc01,01-25 15:00:00+01:00,14.648881550240038
2030,sc01,01-25 17:00:00+01:00,14.691016355800038
2030,sc01,01-25 19:00:00+01:00,14.733151161360038
2030,sc01,01-25 21:00:00+01:00,14.775285966920038
2030,sc01,01-25 23:00:00+01:00,14.817420772480038
2030,sc01,01-26 01:00:00+01:00,14.858884290640038
2030,sc01,01-26 03:00:00+01:00,14.900347808800039
2030,sc01,01-26 05:00:00+01:00,14.941811326960039
2030,sc01,01-26 07:00:00+01:00,14.98327484512004
2030,sc01,01-26 09:00:00+01:00,15.02473836328004
2030,sc01,01-26 11:00:00+01:00,15.06620188144004
2030,sc01,01-26 13:00:00+01:00,15.107665399600041
2030,sc01,01-26 15:00:00+01:00,15.149128917760041
2030,sc01,01-26 17:00:00+01:00,15.190592435920042
2030,sc01,01-26 19:00:00+01:00,15.232055954080042
2030,sc01,01-26 21:00:00+01:00,15.273519472240043
2030,sc01,01-26 23:00:00+01:00,15.314982990400043
2030,sc01,01-27 01:00:00+01:00,15.356189029420044
2030,sc01,01-27 03:00:00+01:00,15.397395068440044
2030,sc01,01-27 05:00:00+01:00,15.438601107460045
2030,sc01,01-27 07:00:00+01:00,15.479807146480045
2030,sc01,01-27 09:00:00+01:00,15.521013185500045
2030,sc01,01-27 11:00:00+01:00,15.562219224520046
2030,sc01,01-27 13:00:00+01:00,15.603425263540046
2030,sc01,01-27 15:00:00+01:00,15.644631302560047
2030,sc01,01-27 17:00:00+01:00,15.685837341580047
2030,sc01,01-27 19:00:00+01:00,15.727043380600048
2030,sc01,01-27 21:00:00+01:00,15.768249419620048
2030,sc01,01-27 23:00:00+01:00,15.809455458640048
2030,sc01,01-28 01:00:00+01:00,15.850183319600049
2030,sc01,01-28 03:00:00+01:00,15.89091118056005
2030,sc01,01-28 05:00:00+01:00,15.93163904152005
2030,sc01,01-28 07:00:00+01:00,15.97236690248005
2030,sc01,01-28 09:00:00+01:00,16.01309476344005
2030,sc01,01-28 11:00:00+01:00,16.053822624400052
2030,sc01,01-28 13:00:00+01:00,16.094550485360053
2030,sc01,01-28 15:00:00+01:00,16.135278346320053
2030,sc01,01-28 17:00:00+01:00,16.176006207280054
2030,sc01,01-28 19:00:00+01:00,16.216734068240054
2030,sc01,01-28 21:00:00+01:00,16.257461929200055
2030,sc01,01-28 23:00:00+01:00,16.298189790160055
2030,sc01,01-29 01:00:00+01:00,16.338540626600054
