Period,Scenario,LoadLevel,Aggreko_Boutoute,Boutoute,Centrale_C_Cap_CTag,Contour_Global,Dakar_CCGT_25,Dakar_OCGT_25,Diesel_Bel_Air,FKK_PV_25,Gas_Turbines,KPS_KarPowerShip,Kounoune_Power,LS_PV_2029,Malicounda_Power,Manantali,Secondary_Plants
2030,sc01,01-03 17:00:00+01:00,,,107.84750436,38.217981243,,,161.28979444999996,0.0,17.877214342,161.41434249,18.480869517187003,0.0,,200.0,
2030,sc01,01-03 19:00:00+01:00,,,,,,,161.28979444999996,0.0,,63.23903773290166,,0.0,,200.0,
2030,sc01,01-03 21:00:00+01:00,,,,,,,160.42177523518814,,,161.41434249,,,,200.0,
2030,sc01,01-03 23:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,50.49295966011419,200.0,13.176499999999997
2030,sc01,01-04 01:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,95.80113158255296,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-04 03:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,161.8535709555885,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-04 05:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,80.61586744523733,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-04 07:00:00+01:00,,,107.84750436,20.388656260251327,,,155.02988735580544,,17.877214342,161.41434249,,,,200.0,
2030,sc01,01-04 09:00:00+01:00,,,46.039249470748146,38.217981243,,,161.28979444999996,0.0,17.877214342,137.4052238678746,,0.0,,200.0,
2030,sc01,01-04 11:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,72.80903599091063,200.0,13.176499999999997
2030,sc01,01-04 13:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,113.16466049452119,200.0,13.176499999999997
2030,sc01,01-04 15:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,44.41391421137872,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-04 17:00:00+01:00,,,107.84750436,38.217981243,,,161.28979444999996,0.0,17.877214342,161.41434249,28.45894388399711,0.0,,200.0,
2030,sc01,01-04 19:00:00+01:00,,,,,,,161.28979444999996,0.0,,44.50369739878449,,0.0,,200.0,
2030,sc01,01-04 21:00:00+01:00,,,,,,,144.49866418409698,,,161.41434249,,,,200.0,
2030,sc01,01-04 23:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,28.61538035763926,200.0,13.176499999999997
2030,sc01,01-05 01:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,78.98211233109583,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-05 03:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,142.8542086883627,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-05 05:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,39.79083904894007,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
2030,sc01,01-05 07:00:00+01:00,,,9.906572317234435,38.217981243,,,161.28979444999996,,17.877214342,156.3447051484952,,,,200.0,
2030,sc01,01-05 09:00:00+01:00,,,,,,,138.2852139369688,0.0,,161.41434249,,0.0,,200.0,
2030,sc01,01-05 11:00:00+01:00,,,107.84750436,20.15839295305029,,,152.61914332111624,0.0,17.877214342,161.41434249,,0.0,,200.0,
2030,sc01,01-05 13:00:00+01:00,,,107.84750436,38.217981243,,,161.28979444999996,0.0,17.877214342,161.41434249,28.51710638112193,0.0,,200.0,
2030,sc01,01-05 15:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,,161.28979444999996,0.0,17.877214342,161.41434249,32.744052353499995,0.0,43.71273371760845,200.0,13.176499999999997
2030,sc01,01-05 17:00:00+01:00,,,107.84750436,7.134194646545917,,,161.28979444999996,0.0,17.877214342,151.71419051967794,,0.0,,200.0,
2030,sc01,01-05 19:00:00+01:00,,,,,,,161.28979444999996,0.0,,101.73206625454998,,0.0,,200.0,
2030,sc01,01-05 21:00:00+01:00,,,9.053346791423875,38.217981243,,,159.90895647931208,,17.877214342,161.41434249,,,,200.0,
2030,sc01,01-05 23:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,98.42222088453319,200.0,13.176499999999997
2030,sc01,01-06 01:00:00+01:00,6.175,14.249999999999998,107.84750436,38.217981243,,123.86088013266007,161.28979444999996,,17.877214342,161.41434249,32.744052353499995,,113.99999999999999,200.0,13.176499999999997
