Time,Dakar>Thies,Diourbel>Thies,FKK>Thies,LS>Thies,Thies>Dakar,Thies>Diourbel,Thies>FKK,Thies>LS,TotalExportsCountriesIn,TotalImportsCountriesIn
2030-01-07 14:00:00,26.2,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,26.2
2030-01-07 15:00:00,25.2,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,25.2
2030-01-07 16:00:00,64.7,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,64.7
2030-01-07 17:00:00,116.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,116.0
2030-01-07 18:00:00,122.1,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,122.1
2030-01-07 19:00:00,74.8,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,74.8
2030-01-07 20:00:00,79.4,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,79.4
2030-01-07 21:00:00,88.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,88.0
2030-01-07 22:00:00,92.1,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,92.1
2030-01-07 23:00:00,91.8,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,91.8
2030-01-08 00:00:00,132.6,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,132.6
2030-01-08 01:00:00,155.7,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,155.7
2030-01-08 02:00:00,178.8,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,178.8
2030-01-08 03:00:00,195.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,195.0
2030-01-08 04:00:00,209.4,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,209.4
2030-01-08 05:00:00,208.8,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,208.8
2030-01-08 06:00:00,181.1,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,181.1
2030-01-08 07:00:00,197.3,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,197.3
2030-01-08 08:00:00,189.8,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,189.8
2030-01-08 09:00:00,135.7,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,135.7
2030-01-08 10:00:00,142.5,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,142.5
2030-01-08 11:00:00,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
2030-01-08 12:00:00,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
2030-01-08 13:00:00,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
2030-01-08 14:00:00,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
2030-01-08 15:00:00,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
