names,values
EB2_EnergyBalanceEachTS|2022|6943|Heat_Low_Residential|Diourbel,-337.13568811657245
EB2_EnergyBalanceEachTS|2022|7016|Heat_Low_Residential|Diourbel,-337.1581540055229
EB2_EnergyBalanceEachTS|2022|7089|Heat_Low_Residential|Diourbel,-337.17993075677543
EB2_EnergyBalanceEachTS|2022|7162|Heat_Low_Residential|Diourbel,-337.20391274866114
EB2_EnergyBalanceEachTS|2022|7235|Heat_Low_Residential|Diourbel,-337.23037563625917
EB2_EnergyBalanceEachTS|2022|7308|Heat_Low_Residential|Diourbel,-337.25794114417374
EB2_EnergyBalanceEachTS|2022|7381|Heat_Low_Residential|Diourbel,-337.2813718259012
EB2_EnergyBalanceEachTS|2022|7454|Heat_Low_Residential|Diourbel,-337.2965328552542
EB2_EnergyBalanceEachTS|2022|7527|Heat_Low_Residential|Diourbel,-337.30301074961415
EB2_EnergyBalanceEachTS|2022|7600|Heat_Low_Residential|Diourbel,-337.4913934410988
EB2_EnergyBalanceEachTS|2022|7673|Heat_Low_Residential|Diourbel,-337.28674709994453
EB2_EnergyBalanceEachTS|2022|7746|Heat_Low_Residential|Diourbel,-337.26262728051927
EB2_EnergyBalanceEachTS|2022|7819|Heat_Low_Residential|Diourbel,-337.2325808768923
EB2_EnergyBalanceEachTS|2022|7892|Heat_Low_Residential|Diourbel,-337.1995022673948
EB2_EnergyBalanceEachTS|2022|7965|Heat_Low_Residential|Diourbel,-337.1636671071058
EB2_EnergyBalanceEachTS|2022|8038|Heat_Low_Residential|Diourbel,-337.1232836380109
EB2_EnergyBalanceEachTS|2022|8111|Heat_Low_Residential|Diourbel,-337.07848968764966
EB2_EnergyBalanceEachTS|2022|8184|Heat_Low_Residential|Diourbel,-337.03162832419486
EB2_EnergyBalanceEachTS|2022|8257|Heat_Low_Residential|Diourbel,-336.98476696074
EB2_EnergyBalanceEachTS|2022|8330|Heat_Low_Residential|Diourbel,-336.9392838726809
EB2_EnergyBalanceEachTS|2022|8403|Heat_Low_Residential|Diourbel,-336.8950412324779
EB2_EnergyBalanceEachTS|2022|8476|Heat_Low_Residential|Diourbel,-336.85148772997286
EB2_EnergyBalanceEachTS|2022|8549|Heat_Low_Residential|Diourbel,-336.80972598548226
EB2_EnergyBalanceEachTS|2022|8622|Heat_Low_Residential|Diourbel,-336.76865337868946
EB2_EnergyBalanceEachTS|2022|8695|Heat_Low_Residential|Diourbel,-336.74839273037225
EB2_EnergyBalanceEachTS|2022|8|Heat_Low_Residential|Thies,-336.4314608385596
EB2_EnergyBalanceEachTS|2022|81|Heat_Low_Residential|Thies,-336.40643659513063
EB2_EnergyBalanceEachTS|2022|154|Heat_Low_Residential|Thies,-336.3492383244359
EB2_EnergyBalanceEachTS|2022|227|Heat_Low_Residential|Thies,-336.29588993734563
EB2_EnergyBalanceEachTS|2022|300|Heat_Low_Residential|Thies,-336.2340168079884
EB2_EnergyBalanceEachTS|2022|373|Heat_Low_Residential|Thies,-336.16389392805013
EB2_EnergyBalanceEachTS|2022|446|Heat_Low_Residential|Thies,-336.0845588266298
EB2_EnergyBalanceEachTS|2022|519|Heat_Low_Residential|Thies,-336.0217232263714
EB2_EnergyBalanceEachTS|2022|592|Heat_Low_Residential|Thies,-336.24845388314424
EB2_EnergyBalanceEachTS|2022|665|Heat_Low_Residential|Thies,-335.91750137736517
EB2_EnergyBalanceEachTS|2022|738|Heat_Low_Residential|Thies,-335.8502659101303
EB2_EnergyBalanceEachTS|2022|811|Heat_Low_Residential|Thies,-335.7923801602205
EB2_EnergyBalanceEachTS|2022|884|Heat_Low_Residential|Thies,-335.7322944768224
EB2_EnergyBalanceEachTS|2022|957|Heat_Low_Residential|Thies,-335.6906332363885
EB2_EnergyBalanceEachTS|2022|1030|Heat_Low_Residential|Thies,-335.6631340677853
EB2_EnergyBalanceEachTS|2022|1103|Heat_Low_Residential|Thies,-335.65323436708815
EB2_EnergyBalanceEachTS|2022|1176|Heat_Low_Residential|Thies,-335.6469095583094
EB2_EnergyBalanceEachTS|2022|1249|Heat_Low_Residential|Thies,-335.64979697101273
EB2_EnergyBalanceEachTS|2022|1322|Heat_Low_Residential|Thies,-335.66877139734896
EB2_EnergyBalanceEachTS|2022|1395|Heat_Low_Residential|Thies,-335.6635465553143
EB2_EnergyBalanceEachTS|2022|1468|Heat_Low_Residential|Thies,-335.6224352982525
EB2_EnergyBalanceEachTS|2022|1541|Heat_Low_Residential|Thies,-335.5817365287197
EB2_EnergyBalanceEachTS|2022|1614|Heat_Low_Residential|Thies,-335.59452364212024
EB2_EnergyBalanceEachTS|2022|1687|Heat_Low_Residential|Thies,-335.6282101236592
EB2_EnergyBalanceEachTS|2022|1760|Heat_Low_Residential|Thies,-335.64732204583845
EB2_EnergyBalanceEachTS|2022|1833|Heat_Low_Residential|Thies,-335.6297225779324
EB2_EnergyBalanceEachTS|2022|1906|Heat_Low_Residential|Thies,-335.6418222121178
