Type,Sector,Region,Fuel,Year,Value
Final Energy Demand [TWh],Industry,ZS,Gas_Bio,2050,0.6623753471539648
Final Energy Demand [TWh],Industry,MTKK,H2,2035,0.08497491548938822
Final Energy Demand [TWh],Industry,MTKK,H2,2040,0.2113524198676399
Final Energy Demand [TWh],Industry,MTKK,H2,2045,0.39853488439733586
Final Energy Demand [TWh],Industry,MTKK,H2,2050,0.5573971052365337
Final Energy Demand [TWh],Industry,MTKK,Gas_Synth,2035,0.0037081663268622505
Final Energy Demand [TWh],Industry,MTKK,Gas_Synth,2040,0.00598512374713034
Final Energy Demand [TWh],Industry,MTKK,Oil,2022,0.2067328955472223
Final Energy Demand [TWh],Industry,MTKK,Oil,2025,0.20606030717360987
Final Energy Demand [TWh],Industry,MTKK,Oil,2030,0.0026672490706421375
Final Energy Demand [TWh],Industry,MTKK,Oil,2035,0.005659916715538302
Final Energy Demand [TWh],Industry,MTKK,Gas_Natural,2030,0.1479042618487192
Final Energy Demand [TWh],Industry,MTKK,Gas_Natural,2035,0.3108891455815729
Final Energy Demand [TWh],Industry,MTKK,Gas_Natural,2040,1.141430890688356
Final Energy Demand [TWh],Industry,MTKK,Gas_Natural,2045,0.8468529439496675
Final Energy Demand [TWh],Industry,MTKK,Gas_Natural,2050,0.3504220734205972
Final Energy Demand [TWh],Industry,MTKK,Hardcoal,2022,0.27334147327222125
Final Energy Demand [TWh],Industry,MTKK,Hardcoal,2025,0.48449262671987176
Final Energy Demand [TWh],Industry,MTKK,Hardcoal,2030,0.518289714683694
Final Energy Demand [TWh],Industry,MTKK,Hardcoal,2035,0.7604657062490371
Final Energy Demand [TWh],Industry,MTKK,Hardcoal,2040,0.18139433941835986
Final Energy Demand [TWh],Industry,MTKK,Hardcoal,2045,0.17128448021630174
Final Energy Demand [TWh],Industry,MTKK,Hardcoal,2050,0.02650931293015612
Final Energy Demand [TWh],Industry,MTKK,Biomass,2022,0.22027400700000013
Final Energy Demand [TWh],Industry,MTKK,Biomass,2025,0.25790676396531514
Final Energy Demand [TWh],Industry,MTKK,Biomass,2030,0.32540758862488484
Final Energy Demand [TWh],Industry,MTKK,Biomass,2035,0.488832287440349
Final Energy Demand [TWh],Industry,MTKK,Biomass,2040,0.7275109517200087
Final Energy Demand [TWh],Industry,MTKK,Biomass,2045,1.963443965453915
Final Energy Demand [TWh],Industry,MTKK,Biomass,2050,2.8944172039165217
Final Energy Demand [TWh],Industry,MTKK,Power,2025,0.06518614614679533
Final Energy Demand [TWh],Industry,MTKK,Power,2030,0.20039611782157646
Final Energy Demand [TWh],Industry,MTKK,Power,2035,0.20620549662625978
Final Energy Demand [TWh],Industry,MTKK,Power,2040,0.21211300119211024
Final Energy Demand [TWh],Industry,MTKK,Power,2045,0.32383897791791066
Final Energy Demand [TWh],Industry,MTKK,Power,2050,0.7051767380737407
Final Energy Demand [TWh],Industry,MTKK,Gas_Bio,2030,0.09166666666666641
Final Energy Demand [TWh],Industry,MTKK,Gas_Bio,2050,0.7503900607478187
Final Energy Demand [TWh],Transportation,Dakar,H2,2040,0.09137829164656934
Final Energy Demand [TWh],Transportation,Dakar,H2,2045,0.09208553386898181
Final Energy Demand [TWh],Transportation,Dakar,H2,2050,0.06286475290263989
Final Energy Demand [TWh],Transportation,Dakar,Oil,2022,4.670252916828822
Final Energy Demand [TWh],Transportation,Dakar,Oil,2025,4.557382983038903
Final Energy Demand [TWh],Transportation,Dakar,Oil,2030,4.435785928825486
