Region,Sector,Emission,Technology,Type,PathwayScenario,Year,Value
FKK,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2030,0.02915446243802289
FKK,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2035,0.03938708579533701
FKK,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2040,0.04169598090635091
FKK,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2045,0.04261360661539179
FKK,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2050,0.006557525993262923
FKK,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2030,0.010095555857141468
FKK,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2035,0.04252385892199052
FKK,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2040,0.08049162782918076
FKK,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2045,0.12119300094685631
FKK,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2050,0.014338622995415417
FKK,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2022,0.025039999993739986
FKK,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2025,0.026264376301293763
FKK,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2030,0.01795521305496957
FKK,Industry,CO2,HLI_Hardcoal,Emissions,ID_ID,2035,0.008962275919946387
FKK,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2022,0.018282352937519973
FKK,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2025,0.018256235294640002
FKK,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2030,0.0008203512075777633
FKK,Industry,CO2,HLI_Oil_Boiler,Emissions,ID_ID,2035,0.0017576004871627609
FKK,Industry,CO2,HMI_Oil,Emissions,ID_ID,2022,0.05709427413592009
FKK,Industry,CO2,HMI_Oil,Emissions,ID_ID,2025,0.056874709634279895
FKK,Industry,CO2,HMI_HardCoal,Emissions,ID_ID,2022,0.03989890108871986
FKK,Industry,CO2,HMI_HardCoal,Emissions,ID_ID,2025,0.0660203983672746
FKK,Industry,CO2,HMI_HardCoal,Emissions,ID_ID,2030,0.11024490406075417
FKK,Industry,CO2,HMI_HardCoal,Emissions,ID_ID,2035,0.21101605680738791
FKK,Industry,CO2,HMI_Gas,Emissions,ID_ID,2030,0.029867499395603545
FKK,Industry,CO2,HMI_Gas,Emissions,ID_ID,2035,0.024316471316555007
FKK,Industry,CO2,HMI_Gas,Emissions,ID_ID,2040,0.1782243589555805
FKK,Industry,CO2,HMI_Gas,Emissions,ID_ID,2045,0.05546124223618304
FKK,Industry,CO2,HMI_Gas,Emissions,ID_ID,2050,0.0013169632970717767
ZS,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2025,0.0021614144462946006
ZS,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2030,0.0016069151924020073
ZS,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2035,0.0023111051011045
ZS,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2040,0.0024592412846387375
ZS,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2045,0.0025130057132169573
ZS,Industry,CO2,HHI_BF_BOF,Emissions,ID_ID,2050,0.0004020674384183557
ZS,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2030,0.0025056323259096537
ZS,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2035,0.029696794281736338
ZS,Industry,CO2,HLI_Gas_Boiler,Emissions,ID_ID,2040,0.0545925198021273
