Model,Scenario,Region,Variable,Unit,2030
GENeSYS-MOD 4.0,ID_2030,Diourbel,Fixed Cost|Electricity|Oil|w/o CCS,EUR/MW/yr,6510.0
GENeSYS-MOD 4.0,ID_2030,Diourbel,Fixed Cost|Electricity|Solar|PV|Rooftop|Commercial,EUR/MW/yr,6660.0
GENeSYS-MOD 4.0,ID_2030,Diourbel,Fixed Cost|Electricity|Solar|PV|Utility,EUR/MW/yr,12003.25
GENeSYS-MOD 4.0,ID_2030,Diourbel,Fixed Cost|Electricity|Wind|Onshore,EUR/MW/yr,20000.0
GENeSYS-MOD 4.0,ID_2030,Diourbel,Lifetime|Electricity|Battery|Lithium-Ion,years,20.0
GENeSYS-MOD 4.0,ID_2030,Diourbel,Lifetime|Electricity|Biomass|w/o CCS,years,40.0
GENeSYS-MOD 4.0,ID_2030,Diourbel,Lifetime|Electricity|Coal|Hard coal|w/o CCS,years,41.0
GENeSYS-MOD 4.0,ID_2030,Diourbel,Lifetime|Electricity|Coal|Lignite|w/o CCS,years,41.0
GENeSYS-MOD 4.0,ID_2030,Diourbel,Lifetime|Electricity|Gas|Fossil|CCGT|w/o CCS,years,31.0
GENeSYS-MOD 4.0,ID_2030,Diourbel,Lifetime|Electricity|Gas|Fossil|OCGT|w/o CCS,years,31.0
GENeSYS-MOD 4.0,ID_2030,Diourbel,Lifetime|Electricity|Hydro|Pumped Storage,years,50.0
GENeSYS-MOD 4.0,ID_2030,Diourbel,Lifetime|Electricity|Hydro|Run of River,years,50.0
GENeSYS-MOD 4.0,ID_2030,Diourbel,Lifetime|Electricity|Nuclear,years,61.0
GENeSYS-MOD 4.0,ID_2030,Diourbel,Lifetime|Electricity|Oil|w/o CCS,years,31.0
GENeSYS-MOD 4.0,ID_2030,Diourbel,Lifetime|Electricity|Solar|PV|Rooftop|Commercial,years,35.0
GENeSYS-MOD 4.0,ID_2030,Diourbel,Lifetime|Electricity|Solar|PV|Utility,years,35.0
GENeSYS-MOD 4.0,ID_2030,Diourbel,Lifetime|Electricity|Wind|Onshore,years,27.0
GENeSYS-MOD 4.0,ID_2030,Diourbel,Secondary Energy|Electricity|Solar|PV|Utility,MWh/yr,73648.64957941667
GENeSYS-MOD 4.0,ID_2030,Diourbel,Variable Cost|Electricity|Coal|Hard coal|w/o CCS,EUR/MWh,46.99051191939781
GENeSYS-MOD 4.0,ID_2030,Diourbel,Variable Cost|Electricity|Coal|Lignite|w/o CCS,EUR/MWh,244.9564622521318
GENeSYS-MOD 4.0,ID_2030,Diourbel,Variable Cost|Electricity|Gas|Fossil|CCGT|w/o CCS,EUR/MWh,87.06362501554698
GENeSYS-MOD 4.0,ID_2030,Diourbel,Variable Cost|Electricity|Gas|Fossil|OCGT|w/o CCS,EUR/MWh,122.6658352491798
GENeSYS-MOD 4.0,ID_2030,Diourbel,Variable Cost|Electricity|Nuclear,EUR/MWh,7.309714358125768
GENeSYS-MOD 4.0,ID_2030,Diourbel,Variable Cost|Electricity|Oil|w/o CCS,EUR/MWh,260.5624402189472
GENeSYS-MOD 4.0,ID_2030,Diourbel>Dakar,Network|Electricity|Loss Factor,-,3e-05
GENeSYS-MOD 4.0,ID_2030,Diourbel>FKK,Network|Electricity|Loss Factor,-,3e-05
GENeSYS-MOD 4.0,ID_2030,Diourbel>LS,Network|Electricity|Loss Factor,-,3e-05
GENeSYS-MOD 4.0,ID_2030,Diourbel>MTKK,Network|Electricity|Loss Factor,-,3e-05
GENeSYS-MOD 4.0,ID_2030,Diourbel>Thies,Network|Electricity|Loss Factor,-,3e-05
GENeSYS-MOD 4.0,ID_2030,Diourbel>Thies,Network|Electricity|Expansion Cost,EUR_2020/MW,441612.0
GENeSYS-MOD 4.0,ID_2030,Diourbel>Thies,Network|Electricity|Maximum Flow,MW,1000.0
GENeSYS-MOD 4.0,ID_2030,Diourbel>ZS,Network|Electricity|Loss Factor,-,3e-05
GENeSYS-MOD 4.0,ID_2030,FKK,Capacity|Electricity|Solar|PV|Utility,MW,100.55830787012809
GENeSYS-MOD 4.0,ID_2030,FKK,Capital Cost|Electricity|Battery|Lithium-Ion,EUR/MW,160000.0005184
GENeSYS-MOD 4.0,ID_2030,FKK,Capital Cost|Electricity|Biomass|w/o CCS,EUR/MW,2330000.0
GENeSYS-MOD 4.0,ID_2030,FKK,Capital Cost|Electricity|Coal|Hard coal|w/o CCS,EUR/MW,2758137.8619808
GENeSYS-MOD 4.0,ID_2030,FKK,Capital Cost|Electricity|Coal|Lignite|w/o CCS,EUR/MW,1800000.0
GENeSYS-MOD 4.0,ID_2030,FKK,Capital Cost|Electricity|Gas|Fossil|CCGT|w/o CCS,EUR/MW,698032.423533882
GENeSYS-MOD 4.0,ID_2030,FKK,Capital Cost|Electricity|Gas|Fossil|OCGT|w/o CCS,EUR/MW,635677.340788036
GENeSYS-MOD 4.0,ID_2030,FKK,Capital Cost|Electricity|Hydro|Pumped Storage,EUR/MW,1424245.4614799998
GENeSYS-MOD 4.0,ID_2030,FKK,Capital Cost|Electricity|Hydro|Run of River,EUR/MW,2560000.0
GENeSYS-MOD 4.0,ID_2030,FKK,Capital Cost|Electricity|Nuclear,EUR/MW,6000000.0
GENeSYS-MOD 4.0,ID_2030,FKK,Capital Cost|Electricity|Oil|w/o CCS,EUR/MW,650000.0
GENeSYS-MOD 4.0,ID_2030,FKK,Capital Cost|Electricity|Solar|PV|Rooftop|Commercial,EUR/MW,570000.0
GENeSYS-MOD 4.0,ID_2030,FKK,Capital Cost|Electricity|Solar|PV|Utility,EUR/MW,380000.0
GENeSYS-MOD 4.0,ID_2030,FKK,Capital Cost|Electricity|Wind|Onshore,EUR/MW,729013.064706364
GENeSYS-MOD 4.0,ID_2030,FKK,Charging Efficiency|Electricity|Battery|Lithium-Ion,-,0.95
GENeSYS-MOD 4.0,ID_2030,FKK,Charging Efficiency|Electricity|Hydro|Pumped Storage,-,0.866
GENeSYS-MOD 4.0,ID_2030,FKK,Discharging Efficiency|Electricity|Battery|Lithium-Ion,-,0.95
GENeSYS-MOD 4.0,ID_2030,FKK,Discharging Efficiency|Electricity|Hydro|Pumped Storage,-,0.866
GENeSYS-MOD 4.0,ID_2030,FKK,Emission Rate|CO2|Electricity|Coal|Hard coal|w/o CCS,tons/MWh,0.67455945348696
GENeSYS-MOD 4.0,ID_2030,FKK,Emission Rate|CO2|Electricity|Coal|Lignite|w/o CCS,tons/MWh,0.8290976849049599
GENeSYS-MOD 4.0,ID_2030,FKK,Emission Rate|CO2|Electricity|Gas|Fossil|CCGT|w/o CCS,tons/MWh,0.20088
