Region,Sector,Technology,Type,PathwayScenario,Year,Value
FKK,Resources,Z_Import_Hardcoal,TotalCapacity,NZ_NZ,2035,0.022986538129114158
FKK,Resources,Z_Import_Hardcoal,TotalCapacity,NZ_NZ,2040,0.0080339430261351
FKK,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2022,0.22598904139321002
FKK,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2025,0.22774468630072264
FKK,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2030,0.20378191955189343
FKK,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2035,0.21114372596103786
FKK,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2040,0.12569832379372065
FKK,Resources,Z_Import_Oil,TotalCapacity,NZ_NZ,2045,0.04578513725140205
ZS,Resources,RES_Biogas,TotalCapacity,NZ_NZ,2035,0.5210062622222701
ZS,Resources,RES_Biogas,TotalCapacity,NZ_NZ,2040,0.5210062622222701
ZS,Resources,RES_Biogas,TotalCapacity,NZ_NZ,2045,1.5032779117212218
ZS,Resources,RES_Biogas,TotalCapacity,NZ_NZ,2050,1.701401241163903
ZS,Resources,RES_Grass,TotalCapacity,NZ_NZ,2022,0.7876131220499991
ZS,Resources,RES_Grass,TotalCapacity,NZ_NZ,2025,0.9064020925292752
ZS,Resources,RES_Grass,TotalCapacity,NZ_NZ,2030,1.1643556232417762
ZS,Resources,RES_Grass,TotalCapacity,NZ_NZ,2035,2.7360000000000024
ZS,Resources,RES_Grass,TotalCapacity,NZ_NZ,2040,2.832000000000003
ZS,Resources,RES_Grass,TotalCapacity,NZ_NZ,2045,2.928000000000003
ZS,Resources,RES_Grass,TotalCapacity,NZ_NZ,2050,3.0240000000000036
ZS,Resources,RES_Wood,TotalCapacity,NZ_NZ,2040,0.4435890922899761
ZS,Resources,RES_Wood,TotalCapacity,NZ_NZ,2045,4.838727454478122
ZS,Resources,RES_Wood,TotalCapacity,NZ_NZ,2050,7.500000000000008
ZS,Resources,Z_Import_Hardcoal,TotalCapacity,NZ_NZ,2022,0.021666421965372988
ZS,Resources,Z_Import_Hardcoal,TotalCapacity,NZ_NZ,2025,0.026665871166290114
ZS,Resources,Z_Import_Hardcoal,TotalCapacity,NZ_NZ,2030,0.030443419373664928
ZS,Resources,Z_Import_Hardcoal,TotalCapacity,NZ_NZ,2035,0.008244143680181107
