Type,Sector,Region,Fuel,Year,Value
Final Energy Demand [TWh],Industry,ZS,Gas_Natural,2030,0.12870550288535007
Final Energy Demand [TWh],Industry,ZS,Gas_Natural,2035,0.12419028482457127
Final Energy Demand [TWh],Industry,ZS,Gas_Natural,2040,0.2936184379370506
Final Energy Demand [TWh],Industry,ZS,Hardcoal,2022,0.18979785641666677
Final Energy Demand [TWh],Industry,ZS,Hardcoal,2025,0.23359303141670074
Final Energy Demand [TWh],Industry,ZS,Hardcoal,2030,0.26668435371330484
Final Energy Demand [TWh],Industry,ZS,Hardcoal,2035,0.0722186986383862
Final Energy Demand [TWh],Industry,ZS,Hardcoal,2040,0.004170196585071787
Final Energy Demand [TWh],Industry,ZS,Biomass,2022,0.21878142279166682
Final Energy Demand [TWh],Industry,ZS,Biomass,2025,0.2517783590359098
Final Energy Demand [TWh],Industry,ZS,Biomass,2030,0.32343211756715906
Final Energy Demand [TWh],Industry,ZS,Biomass,2035,0.6296517879453776
Final Energy Demand [TWh],Industry,ZS,Biomass,2040,0.794513720311062
Final Energy Demand [TWh],Industry,ZS,Biomass,2045,1.1379955279471687
Final Energy Demand [TWh],Industry,ZS,Biomass,2050,1.4080225266484145
Final Energy Demand [TWh],Industry,ZS,Power,2025,0.017663921125344362
Final Energy Demand [TWh],Industry,ZS,Power,2030,0.062101717165788495
Final Energy Demand [TWh],Industry,ZS,Power,2035,0.13829706441612602
Final Energy Demand [TWh],Industry,ZS,Power,2040,0.3019303620249075
Final Energy Demand [TWh],Industry,ZS,Power,2045,0.48830247867133225
Final Energy Demand [TWh],Industry,ZS,Power,2050,0.9166435632586133
Final Energy Demand [TWh],Industry,ZS,Gas_Bio,2035,0.1400000000000002
Final Energy Demand [TWh],Industry,ZS,Gas_Bio,2040,0.14472396172840835
Final Energy Demand [TWh],Industry,ZS,Gas_Bio,2045,0.6389595549730966
Final Energy Demand [TWh],Industry,ZS,Gas_Bio,2050,0.943590954929299
Final Energy Demand [TWh],Industry,MTKK,H2,2040,0.0721935221739296
Final Energy Demand [TWh],Industry,MTKK,H2,2045,0.0634073772865367
Final Energy Demand [TWh],Industry,MTKK,H2,2050,0.07000323543905755
Final Energy Demand [TWh],Industry,MTKK,Gas_Synth,2045,0.003830855890227135
Final Energy Demand [TWh],Industry,MTKK,Gas_Synth,2050,0.0025836455823392045
Final Energy Demand [TWh],Industry,MTKK,Oil,2022,0.20673289554722238
Final Energy Demand [TWh],Industry,MTKK,Oil,2025,0.2060603071736107
Final Energy Demand [TWh],Industry,MTKK,Oil,2030,0.005773703682924902
Final Energy Demand [TWh],Industry,MTKK,Gas_Natural,2025,0.026877920686215043
Final Energy Demand [TWh],Industry,MTKK,Gas_Natural,2030,0.17369206507292295
Final Energy Demand [TWh],Industry,MTKK,Gas_Natural,2035,0.12102446269951715
Final Energy Demand [TWh],Industry,MTKK,Gas_Natural,2040,0.3061449493800229
Final Energy Demand [TWh],Industry,MTKK,Hardcoal,2022,0.27334147327222186
Final Energy Demand [TWh],Industry,MTKK,Hardcoal,2025,0.5195300821544199
Final Energy Demand [TWh],Industry,MTKK,Hardcoal,2030,0.8051684977680985
Final Energy Demand [TWh],Industry,MTKK,Hardcoal,2035,0.23345260541579327
Final Energy Demand [TWh],Industry,MTKK,Hardcoal,2040,0.10346019980121156
Final Energy Demand [TWh],Industry,MTKK,Biomass,2022,0.2202740070000002
Final Energy Demand [TWh],Industry,MTKK,Biomass,2025,0.25790676396531553
Final Energy Demand [TWh],Industry,MTKK,Biomass,2030,0.3337046801885423
Final Energy Demand [TWh],Industry,MTKK,Biomass,2035,1.0399610898634446
Final Energy Demand [TWh],Industry,MTKK,Biomass,2040,1.5201402720362704
Final Energy Demand [TWh],Industry,MTKK,Biomass,2045,2.0285506657007524
Final Energy Demand [TWh],Industry,MTKK,Biomass,2050,2.462753574548953
Final Energy Demand [TWh],Industry,MTKK,Power,2025,0.014138524665763359
Final Energy Demand [TWh],Industry,MTKK,Power,2030,0.05666592202974156
Final Energy Demand [TWh],Industry,MTKK,Power,2035,0.21932892894853007
Final Energy Demand [TWh],Industry,MTKK,Power,2040,0.35263947624314507
