Region,Sector,Emission,Technology,Type,PathwayScenario,Year,Value
LS,Industry,CO2,HLI_Oil_Boiler,Emissions,NZ_NZ,2022,0.016541176467279997
LS,Industry,CO2,HLI_Oil_Boiler,Emissions,NZ_NZ,2025,0.016517546218959976
LS,Industry,CO2,HLI_Oil_Boiler,Emissions,NZ_NZ,2030,0.002226822718354115
LS,Industry,CO2,HMI_Oil,Emissions,NZ_NZ,2022,0.06702371311608003
LS,Industry,CO2,HMI_Oil,Emissions,NZ_NZ,2025,0.06676596348371998
FKK,Industry,CO2,HHI_BF_BOF,Emissions,NZ_NZ,2025,0.03659995129058856
FKK,Industry,CO2,HHI_BF_BOF,Emissions,NZ_NZ,2030,0.038341567604773044
FKK,Industry,CO2,HHI_BF_BOF,Emissions,NZ_NZ,2035,0.02428158845164497
FKK,Industry,CO2,HHI_BF_BOF,Emissions,NZ_NZ,2040,0.025845013257684145
FKK,Industry,CO2,HLI_Gas_Boiler,Emissions,NZ_NZ,2025,0.005626157773038343
FKK,Industry,CO2,HLI_Gas_Boiler,Emissions,NZ_NZ,2030,0.03690917798514399
FKK,Industry,CO2,HLI_Gas_Boiler,Emissions,NZ_NZ,2035,0.023451901278002694
FKK,Industry,CO2,HLI_Gas_Boiler,Emissions,NZ_NZ,2040,0.05247418638144312
FKK,Industry,CO2,HLI_Hardcoal,Emissions,NZ_NZ,2022,0.02503999999373995
FKK,Industry,CO2,HLI_Hardcoal,Emissions,NZ_NZ,2025,0.02697881142535195
FKK,Industry,CO2,HLI_Hardcoal,Emissions,NZ_NZ,2030,0.017955213054969575
FKK,Industry,CO2,HLI_Hardcoal,Emissions,NZ_NZ,2035,0.008962275919946385
FKK,Industry,CO2,HLI_Oil_Boiler,Emissions,NZ_NZ,2022,0.018282352937519987
FKK,Industry,CO2,HLI_Oil_Boiler,Emissions,NZ_NZ,2025,0.018256235294639985
FKK,Industry,CO2,HLI_Oil_Boiler,Emissions,NZ_NZ,2030,0.001657305480961901
FKK,Industry,CO2,HMI_Oil,Emissions,NZ_NZ,2022,0.057094274135919935
FKK,Industry,CO2,HMI_Oil,Emissions,NZ_NZ,2025,0.05687470963428
FKK,Industry,CO2,HMI_HardCoal,Emissions,NZ_NZ,2022,0.03989890108872
FKK,Industry,CO2,HMI_HardCoal,Emissions,NZ_NZ,2025,0.06602039836727468
FKK,Industry,CO2,HMI_HardCoal,Emissions,NZ_NZ,2030,0.18632854992031336
FKK,Industry,CO2,HMI_HardCoal,Emissions,NZ_NZ,2035,0.036665045150541024
ZS,Industry,CO2,HHI_BF_BOF,Emissions,NZ_NZ,2025,0.0021614144462946006
ZS,Industry,CO2,HHI_BF_BOF,Emissions,NZ_NZ,2030,0.002262733843638549
ZS,Industry,CO2,HHI_BF_BOF,Emissions,NZ_NZ,2035,0.001405921443474199
ZS,Industry,CO2,HHI_BF_BOF,Emissions,NZ_NZ,2040,0.001523442266833513
ZS,Industry,CO2,HLI_Gas_Boiler,Emissions,NZ_NZ,2025,0.003552740910780997
ZS,Industry,CO2,HLI_Gas_Boiler,Emissions,NZ_NZ,2030,0.0258543614196091
ZS,Industry,CO2,HLI_Gas_Boiler,Emissions,NZ_NZ,2035,0.024864322910135555
ZS,Industry,CO2,HLI_Gas_Boiler,Emissions,NZ_NZ,2040,0.05886832279957889
