Timestep,Hydro|Reservoir_MTKK_0,Electricity|Gas|Fossil|CCGT|w/o CCS_Dakar_0,Electricity|Gas|Fossil|CCGT|w/o CCS_Thies_0,Electricity|Gas|Fossil|OCGT|w/o CCS_Dakar_0,Electricity|Oil|w/o CCS_Dakar_0,Electricity|Oil|w/o CCS_Thies_0,Electricity|Oil|w/o CCS_ZS_0,Electricity|Oil|w/o CCS_MTKK_0,Solar|PV|Utility_Dakar_0,Solar|PV|Utility_Diourbel_0,Solar|PV|Utility_Thies_0,Solar|PV|Utility_LS_0,Solar|PV|Utility_FKK_0,Wind|Onshore_Thies_0,Hydro|Run of River_MTKK_0,SlackUnit_Dakar,SlackUnit_Diourbel,SlackUnit_Thies,SlackUnit_LS,SlackUnit_FKK,SlackUnit_ZS,SlackUnit_MTKK
34,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,11.485849299691663461,13.815842264057835109,111.96918614894711652,18.816549267265223477,35.091857054095726198,167.91248062225571402,23.105395623913960179,1500000,1500000,1500000,1500000,1500000,1500000,1500000
35,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,18.653458189086276064,21.941508617952749205,170.1061680975666377,27.92513490010203725,53.52172877881699975,178.13893829053503737,23.105395623913960179,1500000,1500000,1500000,1500000,1500000,1500000,1500000
36,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,23.434580475832387236,26.95360050635993332,208.27113486626726058,34.365392516711295912,64.421057958222831985,141.19204618884793945,23.105395623913960179,1500000,1500000,1500000,1500000,1500000,1500000,1500000
37,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,27.73680372603983102,29.329509113054850644,231.00197063995815938,38.957041082349853411,70.632220695649081676,104.06933259434489969,23.105395623913960179,1500000,1500000,1500000,1500000,1500000,1500000,1500000
38,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,27.253900399478773409,28.489545143453003817,223.55972224856674302,39.075905074226668034,68.719360736948416957,73.5790785061491448,23.105395623913960179,1500000,1500000,1500000,1500000,1500000,1500000,1500000
39,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,25.621625335084491581,26.7817779775496696,214.2685966631934491,36.237921892288412096,65.328389536223809841,60.577152986990249417,23.105395623913960179,1500000,1500000,1500000,1500000,1500000,1500000,1500000
40,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,21.622744616749418611,23.510226947853613666,183.49263062269758962,31.285360939967148397,55.703211164514925713,56.440176685439709559,23.105395623913960179,1500000,1500000,1500000,1500000,1500000,1500000,1500000
41,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,15.093574108470150463,16.413507250627468181,125.08763543603841129,22.309654290957162459,39.317243117682473041,60.20778010292325888,23.105395623913960179,1500000,1500000,1500000,1500000,1500000,1500000,1500000
42,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,7.9139523490083361068,8.19055090077954695,64.385891043927244937,10.505975168544642528,20.031803803773396311,80.063050113061521529,23.105395623913960179,1500000,1500000,1500000,1500000,1500000,1500000,1500000
43,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,1.0326853215664235641,1.0384473451456375237,7.2771806355126900101,0.95049043149721279544,3.3878756797989000304,110.72395447369622445,23.105395623913960179,1500000,1500000,1500000,1500000,1500000,1500000,1500000
44,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,0,0,0,0,0,128.03720029568529526,23.105395623913960179,1500000,1500000,1500000,1500000,1500000,1500000,1500000
45,200,473.82447791831890527,164.01616543326449005,218.68822057768588252,506.49999999999982947,99.999999999999900524,12,16.689364201981398139,0,0,0,0,0,147.97594857762268816,23.105395623913960179,1500000,1500000,1500000,1500000,1500000,1500000,1500000
