Region,Technology,Fuel,Type,Unit,Year,Value
Thies,RES_Wind_Offshore_Transitional,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
LS,RES_Wind_Offshore_Transitional,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
FKK,RES_Wind_Offshore_Transitional,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
ZS,RES_Wind_Offshore_Transitional,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
Dakar,RES_Wind_Onshore_Avg,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
Diourbel,RES_Wind_Onshore_Avg,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
Thies,RES_Wind_Onshore_Avg,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
LS,RES_Wind_Onshore_Avg,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
FKK,RES_Wind_Onshore_Avg,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
ZS,RES_Wind_Onshore_Avg,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
MTKK,RES_Wind_Onshore_Avg,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
Dakar,RES_Wind_Onshore_Inf,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
Diourbel,RES_Wind_Onshore_Inf,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
Thies,RES_Wind_Onshore_Inf,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
