,Dakar,Diourbel,Thies,LS,FKK,ZS,MTKK
5656,251.93415278936823,252.200962555374,251.9733575343741,252.35738493137407,252.29682418826232,252.37100578560288,251.61037938059027
5657,251.9340754296261,252.19975520485784,251.97215018385793,252.3561775808579,252.29682418826232,252.3706331916997,251.6095710840909
5658,251.9340610876549,252.1997083666322,251.9721033456323,252.35613074263227,252.29660805175007,252.3706331916997,251.60888154534393
5659,251.9340610876549,252.19953930517676,251.97193428417683,252.35596168117684,252.29631956617618,252.37032732821197,251.60802584557112
5660,251.93399783305279,252.19897717367402,251.97137215267404,252.35539954967402,252.29605856617619,252.37003884263805,251.60759799568473
5661,251.93399783305279,252.19896283170277,251.9713578107028,252.3553852077028,252.29605856617619,252.3698227061258,251.60759799568473
5662,251.9337800219035,252.19894848973155,251.97134346873162,252.3553708657316,252.29605856617619,252.3698227061258,251.60759799568473
5663,251.93370838594154,252.1987531650821,251.97114814408218,252.35517554108216,252.29605856617619,252.3698227061258,251.60759799568473
5664,251.93130454899608,252.1978071434621,251.97020212246213,252.35422951946214,252.29605856617619,252.3698227061258,251.60742079360412
5665,251.9305709352893,252.19591439647675,251.96830937547682,252.35233677247678,252.29605856617619,252.3698227061258,251.60738407074152
5666,251.93038753186264,252.19548722813897,251.96788220713898,252.35190960413905,252.29605856617619,252.3698227061258,251.60738407074152
5667,251.93038753186264,252.19545954084015,251.96785451984022,252.35188191684023,252.29605856617619,252.3698227061258,251.60738407074152
5668,251.93029583014928,252.19535453541744,251.96774951441745,252.35177691141746,252.29605856617619,252.3698227061258,251.6072068686609
5669,251.92588450295315,252.1888562526983,251.96125123169838,252.34527862869837,252.29601370268844,252.3698227061258,251.6072068686609
5670,251.9254546783289,252.1884937041675,251.96088868316755,252.34491608016754,252.29601370268844,252.36977784263806,251.6071230707415
5671,251.92542599438642,252.18832464271208,251.96071962171212,252.3447470187121,252.29601370268844,252.36977784263806,251.6067790187745
5672,251.92516523121765,252.18817799386227,251.96057297286234,252.3446003698623,252.29601370268844,252.36977784263806,251.60664201612374
5673,251.92516523121762,252.18781311988243,251.9602080988825,252.3442354958825,252.29601370268844,252.36977784263806,251.60664201612374
5674,251.92498133991603,252.18738136238466,251.95977634138472,252.34380373838476,252.29601370268844,252.36977784263806,251.60642809118053
5675,251.92496748581976,252.18703131825103,251.95942629725104,252.34345369425108,252.29601370268844,252.36977784263806,251.60621416623732
5676,251.9249674858197,252.1868637222533,251.9592587012532,252.34328609825332,252.29601370268844,252.36977784263806,251.6057893160807
5677,251.92490446804885,252.18672729233737,251.95912227133738,252.3431496683374,252.29601370268844,252.36977784263806,251.60578631635093
5678,251.92487578410638,252.18663582745523,251.9590308064552,252.3430582034553,252.29601370268844,252.3697329791503,251.6042371823572
5679,251.9247327490137,252.1865887738037,251.95898375280373,252.34301114980374,252.29601370268844,252.36969635985864,251.60316755764117
5680,251.92472082779096,252.18655846771313,251.95895344671317,252.34298084371318,252.2959688392007,252.3695617061258,251.60305096017333
5681,251.92469238067972,252.18607965656386,251.95847463556373,252.3425020325639,252.2959688392007,252.3695617061258,251.6030433281396
5682,251.9246923806797,252.1859512741678,251.95834625316772,252.34237365016776,252.2958913040184,252.3695617061258,251.60287539999644
5683,251.92460067896636,252.18028310827947,251.95267808727948,252.33670548427946,252.2957975661762,252.3695617061258,251.60273970775475
5684,251.92460067896636,252.1783583610799,251.95075334007998,252.33478073707997,252.2957975661762,252.3695617061258,251.60272598701854
5685,251.92460067896633,252.1782585887321,251.9506535677322,252.33468096473214,252.2957975661762,252.36951684263806,251.60240155331
5686,251.92460067896633,252.1781936380877,251.95058861708776,252.33461601408771,252.29575270268845,252.36951684263806,251.60222059661228
5687,251.92450897725303,252.17816293754308,251.9505579165431,252.3345853135431,252.2957182949658,252.36951684263806,251.6022051610276
5688,251.924508977253,252.17795667497293,251.95035165397297,252.33437905097293,252.29563466388691,252.36951684263806,251.60218827925715
5689,251.924508977253,252.17785551517676,251.95025049417683,252.33427789117684,252.29556561161047,252.36951684263806,251.60218762836678
5690,251.924508977253,252.17770079569257,251.95009577469258,252.3341231716926,252.29556142718215,252.36951684263806,251.60200051784048
5691,251.924508977253,252.17742354225308,251.94981852125315,252.33384591825316,252.29550215845356,252.3694436673243,251.60197370342357
5692,251.92443734129105,252.17714438796995,251.94953936697,252.33356676397003,252.29542683484033,252.3693746150479,251.6019191077772
5693,251.92442542006833,252.1767126518774,251.94910763087748,252.33313502787746,252.29541637907522,252.36918481562375,251.60178659289727
5694,251.92423387211304,252.1766352921353,251.94903027113537,252.33305766813538,252.2953758121864,252.36309221228672,251.60176042937076
5695,251.92418495948212,252.1766041811979,251.9489991601979,252.33302655719797,252.2953555096038,252.3627376009837,251.60175977848036
5696,251.92415627553967,252.1761991961744,251.94859417517432,252.3326215721744,252.29534529066987,252.36120709054867,251.60175977848036
5697,251.92414217039968,252.17575533842572,251.94815031742564,252.33217771442577,252.2951864481483,252.36113617051845,251.60175977848036
5698,251.92406481065754,252.1754555727131,251.9478505517131,252.33187794871316,252.29273747526605,252.3593714541782,251.6016668180677
5699,251.92406457382634,252.17544535377925,251.94784033277915,252.3318677297793,252.29211225209815,252.3592817272027,251.60164938115912
5700,251.92403016610368,252.175123721139,251.94751870013894,252.33154609713898,252.2909373394198,252.35877710511653,251.6015726679541
5701,251.9238997706934,252.1745714156748,251.94696639467486,252.3309937916748,252.2864722637941,252.3586854034032,251.60156394133605
5702,251.92389551237088,252.17073641492402,251.94313139392406,252.32715879092402,252.2858234507408,252.35868540340317,251.60154585353715
5703,251.92389551237088,252.1679703658995,251.9403653448995,252.32439274189954,252.28556245074077,252.35851610511654,251.6013500163929
5704,251.9237123457754,252.1678952680502,251.94029024705029,252.3243176440503,252.2853180656721,252.35842440340318,251.60134128977487
5705,251.92371210894416,252.1673863876415,251.93978136664157,252.32380876364158,252.28519636859357,252.35838975884937,251.60127677780946
5706,251.92368366183297,252.16697897562295,251.939373954623,252.32340135162298,252.28501296516689,252.3582290048596,251.60121280465472
5707,251.9235146003775,252.16678726473066,251.93918224373064,252.32320964073068,252.28496810167917,252.35773203942716,251.60114481806775
5708,251.92344507443866,252.16676505067974,251.9391600296798,252.3231874266798,252.28496810167917,252.3575808954236,251.60111048306123
5709,251.9232538372087,252.16654891416752,251.93894389316756,252.32297129016757,252.28496810167917,252.35749726434472,251.6010546813864
5710,251.9231762406354,252.16639419468328,251.93878917368332,252.3228165706833,252.28496810167917,252.35703279516662,251.60105468138636
5711,251.92315378975334,252.166117178075,251.93851215707505,252.3225395540751,252.28496810167914,252.35061199017605,251.6009774130432
5712,251.92083565829194,252.16610064594002,251.93849562494003,252.32252302194001,252.28492323819142,252.35061199017605,251.60096925789082
5713,251.91659217997017,252.16568711661955,251.9380820956196,252.32210949261963,252.28488447060025,252.35061199017605,251.60095795848332
5714,251.91643972268105,252.1656509095993,251.93804588859922,252.32207328559934,252.2848763999658,252.35061199017605,251.600913456216
5715,251.915736867322,252.16548364744156,251.93787862644146,252.3219060234416,252.2848456416181,252.35061199017605,251.60090472959794
5716,251.9153253697469,252.16545945865278,251.93785443765276,252.3218818346528,252.28480316138243,252.35061199017605,251.6008949021503
5717,251.91512786118017,252.16535550187672,251.9377504808766,252.32177787787674,252.28475196516692,252.35061199017605,251.6008576545411
5718,251.9149712088224,252.16500545586445,251.9374004348644,252.32142783186447,252.28475196516692,252.35061199017605,251.60085765454104
5719,251.91497120882238,252.16500119754193,251.93739617654185,252.32142357354195,252.2847151723136,252.35061199017605,251.6008489279231
5720,251.91495839012757,252.16476648572907,251.9371614647291,252.32118886172913,252.28470710167915,252.35061199017605,251.60079368138636
5721,251.9143436388002,252.16469730879206,251.93709228779196,252.3211196847921,252.28462370743148,252.35061199017605,251.60078495476833
5722,251.91427113627515,252.16438541079864,251.93678038979868,252.32080778679875,252.28461539996582,252.3505671266883,251.60074660632958
5723,251.9142662790581,252.16321399884214,251.93560897784212,252.3196363748421,252.28436270743146,252.3505671266883,251.60074660632958
5724,251.91414565657112,252.16225664337534,251.93465162237538,252.31867901937545,252.2843304480083,252.3505671266883,251.60074660632955
5725,251.9141315514311,252.1620995087598,251.93449448775988,252.31852188475986,252.2842833729515,252.3505671266883,251.60074660632952
5726,251.91413155143107,252.16125841591156,251.93365339491157,252.31768079191164,252.28416114972163,252.3505671266883,251.60072915309348
5727,251.9141003416219,252.16023642341972,251.93263140241976,252.3166587994197,252.28415900142218,252.35052226320056,251.60070768642518
5728,251.91403984971774,252.15698221075064,251.92937718975074,252.31340458675072,252.28392303598972,252.35052226320056,251.6006908046547
5729,251.9139481480044,252.15690461417734,251.9292995931774,252.31332699017742,252.2823212135759,252.35052226320056,251.60064988342654
5730,251.91394814800438,252.1565098480877,251.92890482708776,252.31293222408772,252.28225393748247,252.35039984010248,251.6005326813864
5731,251.9138705514311,252.15605285841377,251.92844783741376,252.31247523441385,252.2804758356436,252.35035099017605,251.60053268138637
5732,251.91385644629108,252.15595780023358,251.92835277923362,252.3123801762336,252.27695661509796,252.35035099017605,251.6005239547683
5733,251.91385644629105,252.15577134779403,251.92816632679413,252.31219372379408,252.27675812325094,252.35031658245342,251.60048560632958
5734,251.91377908654897,252.15574166372136,251.92813664272137,252.3121640397214,252.2767132597632,252.3503061266883,251.60048560632958
5735,251.91372986319269,252.15545061586727,251.92784559486722,252.3118729918673,252.27619725116796,252.3503061266883,251.60048560632958
5736,251.9136730428644,252.1551081330878,251.92750311208783,252.31153050908785,252.27543933960132,252.3503061266883,251.60048560632953
5737,251.91366708225303,252.1549515021353,251.92734648113534,252.31137387813538,252.27518526175007,252.3503061266883,251.60047687971152
5738,251.91359568312222,252.15477616934314,251.92717114834312,252.3111985453432,252.27518526175007,252.3502673590972,251.6004768797115
5739,251.91349133548002,252.15443624713458,251.92683122613448,252.3108586231346,252.27509553477458,252.35005558245345,251.6004359584833
5740,251.91348963943773,252.15422011062233,251.92661508962223,252.31064248662238,252.27492426175007,252.3499270878868,251.60038888342652
5741,251.9134836788263,252.15408964131785,251.92648462031778,252.31051201731788,252.27488985402744,252.3489494016997,251.60037643669682
5742,251.91339793772437,252.1540142563136,251.9264092353135,252.3104366323136,252.27487939826233,252.34864353821197,251.60036527636188
5743,251.91333491995348,252.15393277353417,251.92632775253412,252.31035514953413,252.2746412845304,252.3478232058206,251.60032748306122
5744,251.9133205779823,252.15377201954433,251.9261669985443,252.31019439554436,252.27433417101096,252.34763980239393,251.6003187564432
5745,251.91329382691333,252.15366179143143,251.92605677043133,252.31008416743146,252.2740142023832,252.3476398023939,251.6003187564432
5746,251.91311042348667,252.15363971266584,251.92603469166576,252.31006208866586,252.2739225006699,252.3475622058206,251.6003187564432
5747,251.91308826192468,252.15348049802788,251.9258754770278,252.30990287402787,252.27387763718212,252.34742175441338,251.60031875644313
5748,251.9054513800446,252.15336222239512,251.92575720139507,252.30978459839514,252.27383079895654,252.34737880239393,251.60026295476837
5749,251.90537378347133,252.15289183088206,251.92528680988198,252.309314206882,252.2738307989565,252.34728710068055,251.60026295476834
5750,251.90519038004462,252.15248016054093,251.92487513954092,252.30890253654093,252.2736146624443,252.34712610985957,251.60025312732068
5751,251.90502554049831,252.15162029757587,251.9240152765759,252.30804267357593,252.27358187686977,252.3470162538631,251.60021587971158
