Timestep,Hydro|Reservoir_MTKK_0
703,329978.66298440290848
704,329927.08962098765187
705,329899.62076127389446
706,329913.20665127609391
707,329926.79254127829336
708,329940.3784312804928
709,329953.96432128269225
710,329967.5502112848917
711,329981.13610128709115
712,329994.7219912892906
713,330008.30788129149005
714,329956.02439387794584
715,329769.61028388014529
716,329583.19617388234474
717,329396.78206388454419
718,329210.36795388674363
719,329023.95384388894308
720,328895.99716686335159
721,328835.33179278636817
722,328808.63125082309125
723,328812.82047972030705
724,328826.30755185056478
725,328839.79462398082251
726,328818.86465350107756
727,328767.29615450598067
728,328716.18122805084568
729,328695.78445182956057
730,328709.2715239598183
731,328722.75859609007603
732,328736.24566822033376
733,328749.73274035059148
734,328763.21981248084921
735,328776.70688461110694
736,328790.19395674136467
737,328803.6810288716224
738,328817.16810100188013
739,328698.7180467612925
740,328548.12909084721468
741,328397.50814730708953
742,328256.92258650722215
743,328131.30584142555017
744,328107.56993578694528
745,328121.04678438935662
746,328134.52363299176795
747,328148.00048159417929
748,328161.47733019659063
749,328174.95417879900197
750,328188.4310274014133
751,328201.90787600382464
752,328215.38472460623598
753,328228.86157320864731
754,328242.33842181105865
755,328255.81527041346999
756,328269.29211901588133
757,328282.76896761829266
758,328296.245816220704
759,328309.72266482311534
760,328323.19951342552667
761,328336.67636202793801
762,328350.15321063034935
763,328314.35804774239659
764,328234.12278521747794
765,328159.46167837950634
766,328090.21190543094417
767,328014.34524017642252
768,327975.10371572710574
769,327975.40583774348488
770,327988.72593948448775
771,328002.04604122549063
772,328015.3661429664935
773,328028.68624470749637
774,328042.00634644849924
775,328055.32644818950212
776,328068.64654993050499
777,328081.96665167150786
778,328095.28675341251073
779,328108.60685515351361
780,328121.92695689451648
781,328135.24705863551935
782,328148.56716037652222
783,328161.8872621175251
784,328175.20736385852797
785,328188.52746559953084
786,328201.84756734053371
787,328089.41658519033808
788,327938.11544146918459
789,327801.26160766981775
790,327684.06598064681748
791,327584.11361078330083
792,327524.47960020648316
793,327537.69747580436524
794,327550.91535140224732
795,327564.13322700012941
796,327577.35110259801149
797,327590.56897819589358
798,327603.78685379377566
799,327617.00472939165775
800,327630.22260498953983
801,327643.44048058742192
802,327656.658356185304
803,327669.87623178318609
804,327683.09410738106817
805,327696.31198297895025
806,327709.52985857683234
807,327722.74773417471442
808,327735.96560977259651
809,327749.18348537047859
810,327762.40136096836068
811,327651.32711660448695
812,327476.42859237099765
813,327313.40162302699173
814,327151.73624084051698
815,327057.86737360071857
816,327011.27354959462536
817,327024.39260601025308
818,327037.51166242588079
819,327050.6307188415085
820,327063.74977525713621
821,327076.86883167276392
822,327089.98788808839163
823,327103.10694450401934
824,327116.22600091964705
825,327129.34505733527476
826,327142.46411375090247
827,327155.58317016653018
828,327168.70222658215789
829,327181.8212829977856
830,327194.94033941341331
831,327208.05939582904102
832,327221.17845224466873
833,327234.29750866029644
834,327247.41656507592415
835,327103.58524885581573
836,326916.70430527144345
837,326732.57269712432753
838,326545.69175353995524
839,326423.04731627047295
840,326338.98862860701047
841,326314.18850091198692
842,326327.22236864641309
843,326340.25623638083925
844,326353.29010411526542
845,326366.32397184969159
846,326379.35783958411776
847,326392.39170731854392
848,326405.42557505297009
849,326418.45944278739626
850,326431.49331052182242
851,326444.52717825624859
852,326457.56104599067476
853,326470.59491372510092
854,326483.62878145952709
855,326496.66264919395326
856,326509.69651692837942
857,326474.71338719618507
858,326344.52365005586762
859,326157.55751779029379
860,325970.59138552471995
861,325783.62525325914612
862,325596.65912099357229
863,325409.69298872799845
864,325266.25594494730467
865,325211.95224061864428
866,325223.59206982690375
867,325236.43170748039847
868,325249.27134513389319
