,MTKK-0,MTKK-1,MTKK-2,MTKK-3,MTKK-4,MTKK-5,MTKK-6,MTKK-7,MTKK-8,MTKK-9,MTKK-10,MTKK-11,MTKK-12,MTKK-13,MTKK-14,MTKK-15
2030-09-24 04:00:00,250076.77487917247,394559.6641299527,352998.5357563544,490156.5594518444,266872.5365065699,332302.2721146812,194391.53109557368,388427.3988656476,326264.464335462,335572.5516502188,419050.7149976977,323992.0411562419,335086.4487216057,371925.0125049479,295006.4559553686,377534.2276247263
2030-09-24 05:00:00,250383.3566228188,394760.7106544346,353172.0089037148,490536.8851955209,267038.5530119666,332363.6430390164,194531.29093260888,388645.4005991805,326434.6324299576,336000.1693995486,419261.4502498769,324244.5280035949,335388.719446624,372041.2789455253,295265.7880577882,377708.1794111015
2030-09-24 06:00:00,250693.97086234903,394960.7367732549,353344.56414756976,490917.242817034,267204.5987914332,332428.66621867515,194674.43808114371,388863.4269302439,326604.60854285955,336427.7695708548,419471.8859193246,324499.6348112565,335690.94243031746,372157.1739342197,295525.1002277834,377881.7773415314
2030-09-24 07:00:00,251016.8670486571,395176.6547422247,353532.86246557994,491313.4060760366,267386.44090257195,332500.2490686331,194829.91663231672,389097.24344603874,326790.31111153105,336871.0853744504,419697.7479360479,324761.5515425542,336008.8274690106,372288.77973785007,295800.11050453724,378071.0938369072
2030-09-24 08:00:00,251339.31027252617,395390.3032407279,353717.8043102355,491706.7228355495,267565.1425318576,332574.2061392172,194986.21883811048,389329.8572659508,326972.31968239887,337312.3164817553,419919.3450001334,325026.954588058,336322.190171412,372416.4178980341,296070.0283035728,378257.73340009747
2030-09-24 09:00:00,251678.5618019309,395614.1207322591,353909.6822946307,492106.3033785903,267749.93263820803,332639.0083378373,195159.06892310557,389569.75869507616,327162.9730411012,337761.21060934867,420148.8473773394,325278.4098349467,336642.994241158,372548.7408437352,296343.5663506176,378450.78888468834
2030-09-24 10:00:00,252030.80111925624,395849.5980151552,354136.5145752312,492518.86390473455,267938.4538040495,332696.0546539218,195354.926249048,389822.8914061669,327367.567717404,338222.26029497344,420391.45320833847,325524.85723488487,336974.57811445533,372705.1052874291,296631.90137247334,378656.2322578774
2030-09-24 11:00:00,252402.90526484596,396105.11793975474,354379.2341524639,492942.7259729937,268135.140455308,332788.45334201853,195558.76572198552,390095.18848826765,327577.7216377508,338692.87153611664,420637.84766220744,325793.94522027625,337308.6846472164,372906.72985467984,296942.8665490082,378871.1624583132
2030-09-24 12:00:00,252775.0094104356,396373.2918980712,354621.95372969663,493403.108780699,268354.2300986181,332860.17517308635,195762.60519492303,390367.4855703685,327802.0943471518,339181.85454786127,420879.7731894213,326040.40198807727,337677.9218010154,373108.35442193056,297262.79098969966,379124.13876490097
2030-09-24 13:00:00,253147.1135560253,396641.4658563877,354864.6733069293,493862.9511426776,268588.1582084864,332939.82939597825,195966.4446678606,390639.7826524692,328024.7308122608,339670.8375596059,421130.2277462931,326308.6975754802,338056.5549477356,373308.33468110353,297564.29979162145,379369.46351282153
2030-09-24 14:00:00,253519.217701615,396909.63981470413,355107.3928841621,494327.7405699153,268822.0863183547,333090.6474336459,196170.28414079812,390912.07973457,328275.4581251838,340140.6788516967,421417.85879039846,326639.94522272126,338444.87916308234,373509.9592483543,297885.05219787394,379611.9985376136
2030-09-24 15:00:00,253891.32184720473,397177.8137730208,355350.1124613948,494753.1027703704,269013.6375102192,333219.81863956555,196374.1236137357,391184.3768166708,328508.9163772279,340610.0379793834,421705.48983450374,326950.2783423124,338819.354420328,373711.583815605,298180.18493482244,379825.389767524
2030-09-24 16:00:00,254263.4259927944,397417.11462286673,355584.22934127087,495156.57525522046,269187.1400863544,333310.12166507606,196577.96308667323,391426.06160736777,328698.66059181973,341053.8553388843,421938.0819386002,327215.19917171967,339129.80369098106,373851.8221261101,298456.9330756349,380014.4669009701
2030-09-24 17:00:00,254621.63666825864,397625.63931872335,355764.85168973845,495543.4444317922,269357.08760122873,333396.1458432863,196768.9747186587,391653.91263030656,328873.1908875024,341485.4529814738,422158.21657614526,327474.8318015853,339433.0271692821,373979.9832534787,298720.49238304235,380192.0643117
2030-09-24 18:00:00,254958.94981920527,397822.12102593813,355938.80104675447,495918.83697337995,269515.84045990166,333481.1910913424,196937.99928401344,391869.3090809212,329038.6701919824,341909.2017799298,422369.12170973886,327746.8877861362,339730.6272133743,374099.01835702953,298975.4745128843,380360.1370249866
2030-09-24 19:00:00,255250.7787197311,397984.9144449987,356077.85782234673,496259.02060441655,269640.2661737771,333510.6561953515,197062.45254625217,392045.8356594271,329167.2390513676,342296.0731212102,422541.4435828809,327969.6991013649,339996.1943839872,374178.871173227,299196.3798974569,380496.0746679798
2030-09-24 20:00:00,255503.40994593184,398125.9588417587,356194.5512829939,496578.301540288,269744.8569226782,333519.89146587055,197150.78883801392,392202.7755987643,329275.20002861414,342663.0641965502,422692.323238454,328172.65742634574,340241.7149300775,374237.40872400446,299395.9634261528,380611.9277300893
2030-09-24 21:00:00,255753.6531195705,398265.7931210338,356306.67086938873,496891.4992614685,269844.8210095136,333524.07156959514,197233.23939580863,392353.9050604458,329379.3114977127,343023.34055854427,422840.7434649616,328371.2546465214,340481.5295965864,374291.0810900045,299591.5136669062,380722.2723781412
